method,orth_mode,lambda_orth,zero_old_merge,first_step,later_steps,all_seen,old_new_gap,avg_forgetting
rank_extension,none,0.0,False,0.0,0.24225,0.1938,-0.24225,0.92425
rank_extension_zero_old_merge,none,0.0,True,0.1535,0.14775,0.1489,0.005750000000000005,0.930875
rank_extension_orth_trace_lam_10,trace,10.0,False,0.009,0.01175,0.0112,-0.0027500000000000007,0.43150000000000005
rank_extension_orth_trace_lam_50,trace,50.0,False,0.0005,0.012625,0.0102,-0.012125,0.25712500000000005
rank_extension_orth_trace_lam_100,trace,100.0,False,0.011,0.011,0.011,0.0,0.25325
rank_extension_orth_trace_lam_200,trace,200.0,False,0.0,0.01325,0.0106,-0.01325,0.262125
rank_extension_zero_old_merge_orth_trace_lam_10,trace,10.0,True,0.0005,0.012125,0.0098,-0.011625,0.39637500000000003
rank_extension_zero_old_merge_orth_trace_lam_50,trace,50.0,True,0.0,0.015625,0.0125,-0.015625,0.252125
rank_extension_zero_old_merge_orth_trace_lam_100,trace,100.0,True,0.002,0.011375,0.0095,-0.009375,0.249
rank_extension_zero_old_merge_orth_trace_lam_200,trace,200.0,True,0.0125,0.00825,0.0091,0.00425,0.2695
rank_extension_orth_norm_lam_10,norm,10.0,False,0.001,0.240875,0.1929,-0.239875,0.9275
rank_extension_orth_norm_lam_50,norm,50.0,False,0.0035,0.242125,0.1944,-0.238625,0.92575
rank_extension_orth_norm_lam_100,norm,100.0,False,0.001,0.243375,0.1949,-0.242375,0.9263750000000001
rank_extension_orth_norm_lam_200,norm,200.0,False,0.005,0.252625,0.2031,-0.24762499999999998,0.917
rank_extension_zero_old_merge_orth_norm_lam_10,norm,10.0,True,0.133,0.1635,0.1574,-0.0305,0.931375
rank_extension_zero_old_merge_orth_norm_lam_50,norm,50.0,True,0.145,0.167375,0.1629,-0.022375000000000006,0.932875
rank_extension_zero_old_merge_orth_norm_lam_100,norm,100.0,True,0.1605,0.16875,0.1671,-0.008250000000000007,0.933875
rank_extension_zero_old_merge_orth_norm_lam_200,norm,200.0,True,0.174,0.16725,0.1686,0.006749999999999978,0.934375
