method,eval_set,accuracy,loss
full_finetune,first_step,0.0,8.991137504577637
full_finetune,later_steps,0.2655,5.658621311187744
full_finetune,all_seen,0.2124,6.325124263763428
simple_avg,first_step,0.67,2.4569947719573975
simple_avg,later_steps,0.5355,2.718824625015259
simple_avg,all_seen,0.5624,2.6664578914642334
rank_extension,first_step,0.0005,7.245407581329346
rank_extension,later_steps,0.25575,5.171318531036377
rank_extension,all_seen,0.2047,5.58613920211792
rank_extension_zero_old_merge,first_step,0.256,3.456333875656128
rank_extension_zero_old_merge,later_steps,0.16725,3.71240234375
rank_extension_zero_old_merge,all_seen,0.185,3.6611897945404053
rank_extension_orth_trace_abs_lam_1,first_step,0.0095,6.862236022949219
rank_extension_orth_trace_abs_lam_1,later_steps,0.2575,5.15037727355957
rank_extension_orth_trace_abs_lam_1,all_seen,0.2079,5.4927520751953125
rank_extension_orth_trace_abs_lam_5,first_step,0.008,6.784860610961914
rank_extension_orth_trace_abs_lam_5,later_steps,0.265375,4.976758003234863
rank_extension_orth_trace_abs_lam_5,all_seen,0.2139,5.33837890625
rank_extension_orth_trace_abs_lam_10,first_step,0.0085,6.614316463470459
rank_extension_orth_trace_abs_lam_10,later_steps,0.265125,4.831717014312744
rank_extension_orth_trace_abs_lam_10,all_seen,0.2138,5.188238143920898
rank_extension_zero_old_merge_orth_trace_abs_lam_1,first_step,0.207,3.6335883140563965
rank_extension_zero_old_merge_orth_trace_abs_lam_1,later_steps,0.180375,3.6995253562927246
rank_extension_zero_old_merge_orth_trace_abs_lam_1,all_seen,0.1857,3.686336040496826
rank_extension_zero_old_merge_orth_trace_abs_lam_5,first_step,0.221,3.6322810649871826
rank_extension_zero_old_merge_orth_trace_abs_lam_5,later_steps,0.1745,3.695850133895874
rank_extension_zero_old_merge_orth_trace_abs_lam_5,all_seen,0.1838,3.6831367015838623
rank_extension_zero_old_merge_orth_trace_abs_lam_10,first_step,0.229,3.6347453594207764
rank_extension_zero_old_merge_orth_trace_abs_lam_10,later_steps,0.173125,3.6952643394470215
rank_extension_zero_old_merge_orth_trace_abs_lam_10,all_seen,0.1843,3.6831600666046143
rank_extension_orth_norm_lam_500,first_step,0.037,6.70203161239624
rank_extension_orth_norm_lam_500,later_steps,0.288625,4.835721492767334
rank_extension_orth_norm_lam_500,all_seen,0.2383,5.208984375
rank_extension_zero_old_merge_orth_norm_lam_500,first_step,0.217,3.5126335620880127
rank_extension_zero_old_merge_orth_norm_lam_500,later_steps,0.19475,3.5416362285614014
rank_extension_zero_old_merge_orth_norm_lam_500,all_seen,0.1992,3.5358359813690186
