method,eval_set,accuracy,loss
simple_avg,first_step,0.668,2.4208078384399414
simple_avg,later_steps,0.49575,2.737032890319824
simple_avg,all_seen,0.5302,2.6737887859344482
rank_extension,first_step,0.0,7.331348419189453
rank_extension,later_steps,0.24225,5.184922218322754
rank_extension,all_seen,0.1938,5.6142072677612305
rank_extension_orth_trace_abs_lam_1,first_step,0.0,7.0868024826049805
rank_extension_orth_trace_abs_lam_1,later_steps,0.241,5.07955265045166
rank_extension_orth_trace_abs_lam_1,all_seen,0.1928,5.481003284454346
rank_extension_orth_norm_lam_500,first_step,0.0055,6.4062910079956055
rank_extension_orth_norm_lam_500,later_steps,0.256,4.695330619812012
rank_extension_orth_norm_lam_500,all_seen,0.2059,5.03752326965332
rank_extension_orth_factor_lam_0p1,first_step,0.0145,6.475432872772217
rank_extension_orth_factor_lam_0p1,later_steps,0.254125,4.667159080505371
rank_extension_orth_factor_lam_0p1,all_seen,0.2062,5.028815746307373
rank_extension_orth_factor_lam_1,first_step,0.0265,5.980440616607666
rank_extension_orth_factor_lam_1,later_steps,0.28575,4.225736618041992
rank_extension_orth_factor_lam_1,all_seen,0.2339,4.576676845550537
