method,step,parameter,group,shape,numel
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.A_new,lora_new,"[8, 768]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.B_new,lora_new,"[768, 8]",6144
rank_extension_zero_old_merge_orth_factor_lam_50,5,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.A_new,lora_new,"[8, 768]",6144
