method,first_step,later_steps,all_seen,rank_all_seen
rank_extension_orth_factor_lam_50_kd,74.8,65.975,67.74,1
simple_avg,66.8,49.575,53.02,2
rank_extension_orth_delta_trace_lam_1_kd,53.900000000000006,50.81250000000001,51.43,3
rank_extension_zero_old_merge_orth_factor_lam_50_kd,4.15,57.975,47.21,4
rank_extension_orth_factor_lam_50,10.35,40.362500000000004,34.36,5
rank_extension_zero_old_merge_orth_delta_trace_lam_1_kd,47.099999999999994,23.9375,28.57,6
rank_extension_zero_old_merge,25.3,25.7125,25.629999999999995,7
rank_extension_zero_old_merge_orth_delta_trace_lam_1,25.05,25.7,25.569999999999997,8
rank_extension_zero_old_merge_orth_factor_lam_50,0.0,30.175,24.14,9
rank_extension,0.0,24.224999999999998,19.38,10
rank_extension_orth_delta_trace_lam_1,0.0,24.099999999999998,19.28,11
