method,eval_set,accuracy,loss
full_finetune,first_step,0.0005,7.278297424316406
full_finetune,later_steps,0.264125,4.7427978515625
full_finetune,all_seen,0.2114,5.2498979568481445
simple_avg,first_step,0.5455,3.1965527534484863
simple_avg,later_steps,0.3205,3.5589232444763184
simple_avg,all_seen,0.3655,3.4864492416381836
rank_extension,first_step,0.004,5.619126796722412
rank_extension,later_steps,0.229,4.219875812530518
rank_extension,all_seen,0.184,4.49972677230835
rank_extension_zero_old_merge,first_step,0.0485,4.4816155433654785
rank_extension_zero_old_merge,later_steps,0.075875,4.286789894104004
rank_extension_zero_old_merge,all_seen,0.0704,4.325753688812256
rank_extension_orth_trace_lam_1em4,first_step,0.004,5.613802433013916
rank_extension_orth_trace_lam_1em4,later_steps,0.229,4.224420070648193
rank_extension_orth_trace_lam_1em4,all_seen,0.184,4.5022969245910645
rank_extension_orth_trace_lam_1em3,first_step,0.0035,5.621354579925537
rank_extension_orth_trace_lam_1em3,later_steps,0.228875,4.2202582359313965
rank_extension_orth_trace_lam_1em3,all_seen,0.1838,4.500476360321045
rank_extension_zero_old_merge_orth_trace_lam_1em4,first_step,0.053,4.470875263214111
rank_extension_zero_old_merge_orth_trace_lam_1em4,later_steps,0.079625,4.26790714263916
rank_extension_zero_old_merge_orth_trace_lam_1em4,all_seen,0.0743,4.308499336242676
rank_extension_zero_old_merge_orth_trace_lam_1em3,first_step,0.053,4.466525077819824
rank_extension_zero_old_merge_orth_trace_lam_1em3,later_steps,0.079125,4.266834735870361
rank_extension_zero_old_merge_orth_trace_lam_1em3,all_seen,0.0739,4.306772708892822
rank_extension_orth_norm_lam_005,first_step,0.005,5.606281757354736
rank_extension_orth_norm_lam_005,later_steps,0.229625,4.215025424957275
rank_extension_orth_norm_lam_005,all_seen,0.1847,4.493277549743652
rank_extension_orth_norm_lam_01,first_step,0.0035,5.625307559967041
rank_extension_orth_norm_lam_01,later_steps,0.228375,4.225706577301025
rank_extension_orth_norm_lam_01,all_seen,0.1834,4.505624771118164
rank_extension_zero_old_merge_orth_norm_lam_005,first_step,0.052,4.486758232116699
rank_extension_zero_old_merge_orth_norm_lam_005,later_steps,0.0785,4.286796569824219
rank_extension_zero_old_merge_orth_norm_lam_005,all_seen,0.0732,4.326789379119873
rank_extension_zero_old_merge_orth_norm_lam_01,first_step,0.052,4.491238594055176
rank_extension_zero_old_merge_orth_norm_lam_01,later_steps,0.07825,4.283350944519043
rank_extension_zero_old_merge_orth_norm_lam_01,all_seen,0.073,4.3249287605285645
