method,first_step,later_steps,all_seen,old_new_gap
full_finetune,0.05,26.4125,21.14,-26.3625
simple_avg,54.55,32.05,36.55,22.5
rank_extension,0.4,22.900000000000002,18.4,-22.500000000000004
rank_extension_zero_old_merge,4.8500000000000005,7.5874999999999995,7.04,-2.737499999999999
rank_extension_orth_trace_lam_1em4,0.4,22.900000000000002,18.4,-22.500000000000004
rank_extension_orth_trace_lam_1em3,0.35000000000000003,22.8875,18.38,-22.537499999999998
rank_extension_zero_old_merge_orth_trace_lam_1em4,5.3,7.9625,7.430000000000001,-2.6625000000000005
rank_extension_zero_old_merge_orth_trace_lam_1em3,5.3,7.9125,7.39,-2.6125
rank_extension_orth_norm_lam_005,0.5,22.9625,18.47,-22.4625
rank_extension_orth_norm_lam_01,0.35000000000000003,22.8375,18.34,-22.487499999999997
rank_extension_zero_old_merge_orth_norm_lam_005,5.2,7.85,7.32,-2.6499999999999995
rank_extension_zero_old_merge_orth_norm_lam_01,5.2,7.825,7.3,-2.625
