method,eval_set,accuracy,loss
full_finetune,first_step,0.0005,7.278297424316406
full_finetune,later_steps,0.264125,4.7427978515625
full_finetune,all_seen,0.2114,5.2498979568481445
simple_avg,first_step,0.5455,3.1965527534484863
simple_avg,later_steps,0.3205,3.5589232444763184
simple_avg,all_seen,0.3655,3.4864492416381836
rank_extension,first_step,0.004,5.619126796722412
rank_extension,later_steps,0.229,4.219875812530518
rank_extension,all_seen,0.184,4.49972677230835
rank_extension_zero_old_merge,first_step,0.0485,4.4816155433654785
rank_extension_zero_old_merge,later_steps,0.075875,4.286789894104004
rank_extension_zero_old_merge,all_seen,0.0704,4.325753688812256
rank_extension_orth_trace_lam_0p01,first_step,0.0045,5.618896007537842
rank_extension_orth_trace_lam_0p01,later_steps,0.228875,4.217568874359131
rank_extension_orth_trace_lam_0p01,all_seen,0.184,4.497833728790283
rank_extension_orth_trace_lam_01,first_step,0.002,5.6288886070251465
rank_extension_orth_trace_lam_01,later_steps,0.22875,4.221034049987793
rank_extension_orth_trace_lam_01,all_seen,0.1834,4.5026044845581055
rank_extension_orth_trace_lam_1,first_step,0.0,5.689172744750977
rank_extension_orth_trace_lam_1,later_steps,0.2305,4.227115631103516
rank_extension_orth_trace_lam_1,all_seen,0.1844,4.519526481628418
rank_extension_zero_old_merge_orth_trace_lam_0p01,first_step,0.051,4.452592849731445
rank_extension_zero_old_merge_orth_trace_lam_0p01,later_steps,0.08675,4.232422351837158
rank_extension_zero_old_merge_orth_trace_lam_0p01,all_seen,0.0796,4.276453971862793
rank_extension_zero_old_merge_orth_trace_lam_01,first_step,0.048,4.499591827392578
rank_extension_zero_old_merge_orth_trace_lam_01,later_steps,0.076875,4.288378715515137
rank_extension_zero_old_merge_orth_trace_lam_01,all_seen,0.0711,4.330621719360352
rank_extension_zero_old_merge_orth_trace_lam_1,first_step,0.0425,4.680932998657227
rank_extension_zero_old_merge_orth_trace_lam_1,later_steps,0.08,4.319691181182861
rank_extension_zero_old_merge_orth_trace_lam_1,all_seen,0.0725,4.391931533813477
rank_extension_orth_norm_lam_1,first_step,0.0025,5.648715019226074
rank_extension_orth_norm_lam_1,later_steps,0.23175,4.213675022125244
rank_extension_orth_norm_lam_1,all_seen,0.1859,4.500683784484863
rank_extension_orth_norm_lam_5,first_step,0.003,5.72849702835083
rank_extension_orth_norm_lam_5,later_steps,0.23875,4.257081985473633
rank_extension_orth_norm_lam_5,all_seen,0.1916,4.551363468170166
rank_extension_orth_norm_lam_10,first_step,0.003,5.718439102172852
rank_extension_orth_norm_lam_10,later_steps,0.24025,4.223332405090332
rank_extension_orth_norm_lam_10,all_seen,0.1928,4.522353172302246
rank_extension_zero_old_merge_orth_norm_lam_1,first_step,0.055,4.454564571380615
rank_extension_zero_old_merge_orth_norm_lam_1,later_steps,0.08825,4.227826118469238
rank_extension_zero_old_merge_orth_norm_lam_1,all_seen,0.0816,4.273170471191406
rank_extension_zero_old_merge_orth_norm_lam_5,first_step,0.053,4.479210376739502
rank_extension_zero_old_merge_orth_norm_lam_5,later_steps,0.089625,4.212355613708496
rank_extension_zero_old_merge_orth_norm_lam_5,all_seen,0.0823,4.265727996826172
rank_extension_zero_old_merge_orth_norm_lam_10,first_step,0.051,4.471017360687256
rank_extension_zero_old_merge_orth_norm_lam_10,later_steps,0.094125,4.190862655639648
rank_extension_zero_old_merge_orth_norm_lam_10,all_seen,0.0855,4.246891498565674
