method,eval_set,accuracy,loss
full_finetune,first_step,0.0,8.991137504577637
full_finetune,later_steps,0.2655,5.658621311187744
full_finetune,all_seen,0.2124,6.325124263763428
simple_avg,first_step,0.67,2.7485342025756836
simple_avg,later_steps,0.432375,3.198927164077759
simple_avg,all_seen,0.4799,3.1088483333587646
simple_avg_kd,first_step,0.7745,2.4962053298950195
simple_avg_kd,later_steps,0.295875,3.4534730911254883
simple_avg_kd,all_seen,0.3916,3.262019157409668
simple_avg_factor_orth,first_step,0.014,4.071417808532715
simple_avg_factor_orth,later_steps,0.73275,1.2739609479904175
simple_avg_factor_orth,all_seen,0.589,1.8334511518478394
simple_avg_factor_orth_kd,first_step,0.1145,3.397413492202759
simple_avg_factor_orth_kd,later_steps,0.729625,1.4383423328399658
simple_avg_factor_orth_kd,all_seen,0.6066,1.830155849456787
simple_avg_replay,first_step,0.693,2.5159099102020264
simple_avg_replay,later_steps,0.509875,2.792720079421997
simple_avg_replay,all_seen,0.5465,2.7373580932617188
do_merging_simple,first_step,0.7295,1.83118736743927
do_merging_simple,later_steps,0.51275,2.4444870948791504
do_merging_simple,all_seen,0.5561,2.3218276500701904
rank_extension,first_step,0.0005,7.245407581329346
rank_extension,later_steps,0.25575,5.171318531036377
rank_extension,all_seen,0.2047,5.58613920211792
rank_extension_replay,first_step,0.701,1.0914095640182495
rank_extension_replay,later_steps,0.7205,0.953163206577301
rank_extension_replay,all_seen,0.7167,0.9808121919631958
rank_extension_kd_only,first_step,0.5985,1.2439020872116089
rank_extension_kd_only,later_steps,0.51125,1.6119675636291504
rank_extension_kd_only,all_seen,0.5287,1.5383563041687012
rank_extension_orth_delta_trace_lam_50,first_step,0.0275,6.1988630294799805
rank_extension_orth_delta_trace_lam_50,later_steps,0.255875,4.799744129180908
rank_extension_orth_delta_trace_lam_50,all_seen,0.2102,5.0795674324035645
rank_extension_orth_delta_trace_lam_50_kd,first_step,0.6235,1.2329108715057373
rank_extension_orth_delta_trace_lam_50_kd,later_steps,0.53375,1.558691143989563
rank_extension_orth_delta_trace_lam_50_kd,all_seen,0.5517,1.4935364723205566
rank_extension_orth_factor_lam_50,first_step,0.1215,4.792603492736816
rank_extension_orth_factor_lam_50,later_steps,0.406625,2.7072815895080566
rank_extension_orth_factor_lam_50,all_seen,0.3496,3.1243464946746826
rank_extension_orth_factor_lam_50_kd,first_step,0.8,0.7316083908081055
rank_extension_orth_factor_lam_50_kd,later_steps,0.655375,1.2480818033218384
rank_extension_orth_factor_lam_50_kd,all_seen,0.6843,1.1447888612747192
joint_upper_bound,first_step,0.8675,0.4427042305469513
joint_upper_bound,later_steps,0.85575,0.48113808035850525
joint_upper_bound,all_seen,0.8581,0.47345253825187683
