method,method_family,variant_group,first_step,later_steps,all_seen,rank_all_seen,old_new_gap,gap_to_joint,delta_vs_simple_avg,replay_gain,orth_gain,kd_gain,orth_mode,use_kd,replay_per_class,weighted_orth_over_CE,kd_over_CE,ce_loss_mean,orth_loss_mean,total_loss_mean,avg_forgetting
joint_upper_bound,joint_upper_bound,upper_bound,86.75,85.575,85.81,1,1.1749999999999972,0.0,37.82,,,,none,False,0,,,,,,
rank_extension_replay,rank_extension,replay,70.1,72.05,71.67,2,-1.9500000000000028,14.14,23.68,51.2,,,none,False,20,,,,,,0.282375
rank_extension_orth_factor_lam_50_kd,rank_extension,factor_orth_kd,80.0,65.53750000000001,68.43,3,14.462499999999991,17.379999999999995,20.440000000000005,,15.56000000000001,33.470000000000006,factor_orth,True,0,0.3531524222893603,0.4946032305153728,1.1110618073628102,0.04874557629845,3.9725583185107705,0.16975
simple_avg_factor_orth_kd,simple_merge,factor_orth_kd,11.450000000000001,72.96249999999999,60.660000000000004,4,-61.51249999999999,25.15,12.670000000000002,,21.5,1.7600000000000051,factor_orth,True,0,65.1338614475384,0.41628925434918984,1.04352663343901,4.723886095394157,237.73085181932106,
simple_avg_factor_orth,simple_merge,factor_orth,1.4000000000000001,73.275,58.9,5,-71.875,26.910000000000004,10.909999999999997,,10.909999999999997,,factor_orth,False,0,113.35387848263944,0.0,1.1026924040461012,7.591091548160773,380.65726993689424,
do_merging_simple,do_merging,orthogonalized_merge,72.95,51.275000000000006,55.61000000000001,6,21.674999999999997,30.199999999999996,7.6200000000000045,,,,none,False,0,,,,,,
rank_extension_orth_delta_trace_lam_50_kd,rank_extension,delta_trace_kd,62.35000000000001,53.37499999999999,55.169999999999995,7,8.975000000000016,30.640000000000008,7.179999999999993,,2.299999999999997,34.14999999999999,delta_trace,True,0,0.00302513853085015,0.6182908083552956,0.8480213494453848,5.148748195305e-05,1.332918611136635,0.37575
simple_avg_replay,simple_merge,replay,69.3,50.9875,54.65,8,18.3125,31.160000000000004,6.659999999999997,6.659999999999997,,,none,False,20,,,,,,
rank_extension_kd_only,rank_extension,kd_only,59.85,51.125,52.87,9,8.725000000000001,32.940000000000005,4.8799999999999955,,,32.4,none,True,0,0.0,0.6300839894408927,0.8361213100828024,0.0,1.3168801725695376,0.408125
simple_avg,simple_merge,baseline,67.0,43.237500000000004,47.99,10,23.762499999999996,37.82,0.0,,,,none,False,0,,,,,,
simple_avg_kd,simple_merge,kd_only,77.45,29.5875,39.160000000000004,11,47.862500000000004,46.65,-8.829999999999998,,,-8.829999999999998,none,True,0,0.0,0.663204577691041,0.6498275215588212,0.0,1.0645625279943989,
rank_extension_orth_factor_lam_50,rank_extension,factor_orth,12.15,40.6625,34.96,12,-28.512500000000003,50.85,-13.030000000000001,,14.490000000000002,,factor_orth,False,0,2.55846254305065,0.0,1.241636956900316,0.4170064904197715,22.09196147245467,0.741125
full_finetune,full_finetune,baseline,0.0,26.55,21.240000000000002,13,-26.55,64.57,-26.75,,,,none,False,0,,,,,,
rank_extension_orth_delta_trace_lam_50,rank_extension,delta_trace,2.75,25.587500000000002,21.02,14,-22.837500000000002,64.79,-26.970000000000002,,0.5500000000000007,,delta_trace,False,0,0.036305748949332,0.0,0.6809415058541534,0.0001341621477634,0.6876496133876182,0.91525
rank_extension,rank_extension,baseline,0.05,25.575,20.47,15,-25.525,65.34,-27.520000000000003,,,,none,False,0,,,,,,0.923625
