method,orth_mode,lambda_orth,kd_weight,kd_temperature,ce_loss_mean,orth_loss_mean,weighted_orth_over_CE,kd_loss_mean,kd_over_CE,total_loss_mean
rank_extension_kd_only,none,0.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.4876749057219406
rank_extension_kd_only,none,0.0,1.0,2.0,1.1845677144436642,0.0,0.0,0.9615177253185979,1.2601679788817854,2.1460854394171345
rank_extension_orth_delta_trace_lam_50,delta_trace,50.0,0.0,2.0,0.6809415058541534,0.00013416214776343032,0.036305748949332015,0.0,0.0,0.6876496133876182
rank_extension_orth_delta_trace_lam_50_kd,delta_trace,50.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.4876749057219406
rank_extension_orth_delta_trace_lam_50_kd,delta_trace,50.0,1.0,2.0,1.2083677931688288,0.00010297496390610545,0.006050277061700399,0.9646457767962228,1.2365816167105912,2.1781623165513295
rank_extension_orth_factor_lam_50,factor_orth,50.0,0.0,2.0,1.241636956900316,0.41700649041977156,2.55846254305065,0.0,0.0,22.09196147245467
rank_extension_orth_factor_lam_50_kd,factor_orth,50.0,0.0,2.0,0.4876749057219406,0.0,0.0,0.0,0.0,0.4876749057219406
rank_extension_orth_factor_lam_50_kd,factor_orth,50.0,1.0,2.0,1.7344487090036798,0.09749115259690001,0.7063048445787206,0.8484354073816067,0.9892064610307457,7.457441731299601
simple_avg_factor_orth,factor_orth,50.0,0.0,2.0,1.1026924040461012,7.591091548160773,113.35387848263944,0.0,0.0,380.65726993689424
simple_avg_factor_orth_kd,factor_orth,50.0,0.0,2.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.4426919343357194
simple_avg_factor_orth_kd,factor_orth,50.0,1.0,2.0,1.644361332542301,9.447772190788314,130.2677228950768,0.9860415657641577,0.8325785086983797,475.01901170430637
simple_avg_kd,none,0.0,0.0,2.0,0.4426919343357194,0.0,0.0,0.0,0.0,0.4426919343357194
simple_avg_kd,none,0.0,1.0,2.0,0.856963108781923,0.0,0.0,0.8294700126925095,1.326409155382082,1.6864331216530783
