method,first_step,later_steps,all_seen,old_new_gap,orth_mode,lambda_orth_x,zero_old_merge,use_kd,kd_weight_x,kd_temperature_x,replay_per_class,old_active_in_forward,avg_forgetting,lambda_orth_y,kd_weight_y,kd_temperature_y,ce_loss_mean,orth_loss_mean,weighted_orth_over_CE,kd_loss_mean,kd_over_CE,total_loss_mean,method_family,variant_group,replay_enabled,rank_all_seen,delta_vs_simple_avg,kd_gain,orth_gain,replay_gain,gap_to_joint
full_finetune,0.0,26.55,21.240000000000002,-26.55,none,0.0,False,False,0.0,0.0,0,,,,,,,,,,,,full_finetune,baseline,False,13,-26.75,,,,64.57
simple_avg,67.0,43.237500000000004,47.99,23.762499999999996,none,0.0,False,False,0.0,0.0,0,,,,,,,,,,,,simple_merge,baseline,False,10,0.0,,,,37.82
simple_avg_replay,69.3,50.9875,54.65,18.3125,none,0.0,False,False,0.0,0.0,20,,,,,,,,,,,,simple_merge,replay,True,8,6.659999999999997,,,6.659999999999997,31.160000000000004
simple_avg_kd,77.45,29.5875,39.160000000000004,47.862500000000004,none,0.0,False,True,1.0,2.0,0,,,0.0,0.5,2.0,0.6498275215588212,0.0,0.0,0.41473500634625476,0.663204577691041,1.0645625279943989,simple_merge,kd_only,False,11,-8.829999999999998,-8.829999999999998,,,46.65
simple_avg_factor_orth,1.4000000000000001,73.275,58.9,-71.875,factor_orth,50.0,False,False,0.0,0.0,0,,,50.0,0.0,2.0,1.1026924040461012,7.591091548160773,113.35387848263944,0.0,0.0,380.65726993689424,simple_merge,factor_orth,False,5,10.909999999999997,,10.909999999999997,,26.910000000000004
simple_avg_factor_orth_kd,11.450000000000001,72.96249999999999,60.660000000000004,-61.51249999999999,factor_orth,50.0,False,True,1.0,2.0,0,,,50.0,0.5,2.0,1.04352663343901,4.723886095394157,65.1338614475384,0.4930207828820788,0.41628925434918984,237.73085181932106,simple_merge,factor_orth_kd,False,4,12.670000000000002,1.7600000000000051,21.5,,25.15
do_merging_simple,72.95,51.275000000000006,55.61000000000001,21.674999999999997,none,0.0,False,False,0.0,0.0,0,,,,,,,,,,,,do_merging,orthogonalized_merge,False,6,7.6200000000000045,,,,30.199999999999996
rank_extension,0.05,25.575,20.47,-25.525,none,0.0,False,False,0.0,2.0,0,True,0.923625,,,,,,,,,,rank_extension,baseline,False,15,-27.520000000000003,,,,65.34
rank_extension_replay,70.1,72.05,71.67,-1.9500000000000028,none,0.0,False,False,0.0,2.0,20,True,0.282375,,,,,,,,,,rank_extension,replay,True,2,23.68,,,51.2,14.14
rank_extension_kd_only,59.85,51.125,52.87,8.725000000000001,none,0.0,False,True,1.0,2.0,0,True,0.408125,0.0,0.5,2.0,0.8361213100828024,0.0,0.0,0.480758862659299,0.6300839894408927,1.3168801725695376,rank_extension,kd_only,False,9,4.8799999999999955,32.4,,,32.940000000000005
rank_extension_orth_delta_trace_lam_50,2.75,25.587500000000002,21.02,-22.837500000000002,delta_trace,50.0,False,False,0.0,2.0,0,True,0.91525,50.0,0.0,2.0,0.6809415058541534,0.0001341621477634,0.036305748949332,0.0,0.0,0.6876496133876182,rank_extension,delta_trace,False,14,-26.970000000000002,,0.5500000000000007,,64.79
rank_extension_orth_delta_trace_lam_50_kd,62.35000000000001,53.37499999999999,55.169999999999995,8.975000000000016,delta_trace,50.0,False,True,1.0,2.0,0,True,0.37575,50.0,0.5,2.0,0.8480213494453848,5.148748195305e-05,0.00302513853085015,0.4823228883981114,0.6182908083552956,1.332918611136635,rank_extension,delta_trace_kd,False,7,7.179999999999993,34.14999999999999,2.299999999999997,,30.640000000000008
rank_extension_orth_factor_lam_50,12.15,40.6625,34.96,-28.512500000000003,factor_orth,50.0,False,False,0.0,2.0,0,True,0.741125,50.0,0.0,2.0,1.241636956900316,0.4170064904197715,2.55846254305065,0.0,0.0,22.09196147245467,rank_extension,factor_orth,False,12,-13.030000000000001,,14.490000000000002,,50.85
rank_extension_orth_factor_lam_50_kd,80.0,65.53750000000001,68.43,14.462499999999991,factor_orth,50.0,False,True,1.0,2.0,0,True,0.16975,50.0,0.5,2.0,1.1110618073628102,0.04874557629845,0.3531524222893603,0.42421770369080336,0.4946032305153728,3.9725583185107705,rank_extension,factor_orth_kd,False,3,20.440000000000005,33.470000000000006,15.56000000000001,,17.379999999999995
joint_upper_bound,86.75,85.575,85.81,1.1749999999999972,none,0.0,False,False,0.0,0.0,0,,,,,,,,,,,,joint_upper_bound,upper_bound,False,1,37.82,,,,0.0
