method,first_step,later_steps,all_seen,old_new_gap
simple_avg,58.050000000000004,41.725,44.99,16.325000000000003
simple_avg_kd_T1,77.45,23.5875,34.36,53.862500000000004
simple_avg_kd_T2,77.45,29.5875,39.160000000000004,47.862500000000004
simple_avg_delta_orth,75.3,60.662499999999994,63.59,14.637500000000003
simple_avg_delta_orth_kd_T1,85.75,42.775,51.370000000000005,42.975
simple_avg_delta_orth_kd_T2,84.3,49.4375,56.410000000000004,34.8625
simple_avg_factor_orth,1.4000000000000001,73.275,58.9,-71.875
simple_avg_factor_orth_kd_T1,12.0,71.98750000000001,59.99,-59.98750000000001
simple_avg_factor_orth_kd_T2,11.450000000000001,72.96249999999999,60.660000000000004,-61.51249999999999
rank_extension,0.05,25.575,20.47,-25.525
rank_extension_kd_only_T1,71.45,51.1875,55.24,20.262500000000003
rank_extension_kd_only_T2,59.85,51.125,52.87,8.725000000000001
rank_extension_orth_delta_trace_lam_50,2.75,25.587500000000002,21.02,-22.837500000000002
rank_extension_orth_delta_trace_lam_50_kd_T1,73.45,52.3625,56.58,21.087500000000006
rank_extension_orth_delta_trace_lam_50_kd_T2,62.35000000000001,53.37499999999999,55.169999999999995,8.975000000000016
rank_extension_orth_factor_lam_50,12.15,40.6625,34.96,-28.512500000000003
rank_extension_orth_factor_lam_50_kd_T1,83.45,58.56249999999999,63.54,24.88750000000001
rank_extension_orth_factor_lam_50_kd_T2,80.0,65.53750000000001,68.43,14.462499999999991
