method,family,base_method,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,rank,rank_schedule,target_modules,logged_rows,ce_loss_mean,ce_loss_final,kd_loss_raw_mean,kd_loss_raw_final,kd_loss_weighted_mean,kd_loss_weighted_final,delta_trace_loss_raw_mean,delta_trace_loss_raw_final,delta_trace_loss_weighted_mean,delta_trace_loss_weighted_final,factor_orth_loss_raw_mean,factor_orth_loss_raw_final,factor_orth_loss_weighted_mean,factor_orth_loss_weighted_final,total_loss_mean,total_loss_final,kd_over_CE_mean,kd_over_CE_final,delta_trace_over_CE_mean,delta_trace_over_CE_final,factor_orth_over_CE_mean,factor_orth_over_CE_final
simple_avg,simple_avg,simple_avg,False,0.0,0.0,False,False,0.0,80,fixed:80,"q_proj, v_proj",10635,0.4836996156226653,0.08278024196624756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4836996156226653,0.08278024196624756,0.0,0.0,0.0,0.0,0.0,0.0
simple_avg_kd_T1,simple_avg,simple_avg_kd,True,1.0,1.0,False,False,0.0,80,fixed:80,"q_proj, v_proj",10635,1.002407525655637,0.856353759765625,0.68588622156084,0.6743444800376892,0.68588622156084,0.6743444800376892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6882937477040751,1.530698299407959,0.7142159165252688,0.787460173260012,0.0,0.0,0.0,0.0
simple_avg_kd_T2,simple_avg,simple_avg_kd,True,2.0,1.0,False,False,0.0,80,fixed:80,"q_proj, v_proj",10635,0.7741088738926823,0.5005950927734375,0.6635760101540076,0.5268505811691284,0.6635760101540076,0.5268505811691284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4376848841896066,1.027445673942566,1.0611273243056658,1.0524485532792096,0.0,0.0,0.0,0.0
simple_avg_delta_orth,simple_avg,simple_avg_delta_orth,False,0.0,0.0,True,False,50.0,80,fixed:80,"q_proj, v_proj",10635,0.5471660528627986,0.08381342887878418,0.0,0.0,0.0,0.0,0.0010503309159203215,9.877388151835476e-08,0.052516545716852034,4.938694019074319e-06,0.0,0.0,0.0,0.0,0.5996825989310379,0.08381836861371994,0.0,0.0,0.24283823862271656,5.8924853511935634e-05,0.0,0.0
simple_avg_delta_orth_kd_T1,simple_avg,simple_avg_delta_orth_kd,True,1.0,1.0,True,False,50.0,80,fixed:80,"q_proj, v_proj",10635,1.0600161265166756,0.856597900390625,0.6896017159494258,0.7034855484962463,0.6896017159494258,0.7034855484962463,0.0010240950323407807,7.659438949758623e-08,0.051204751542823904,3.8297193896141835e-06,0.0,0.0,0.0,0.0,1.80082259408514,1.5600872039794922,0.7106356959349134,0.8212552799564676,0.08204409917905592,4.470848443433363e-06,0.0,0.0
simple_avg_delta_orth_kd_T2,simple_avg,simple_avg_delta_orth_kd,True,2.0,1.0,True,False,50.0,80,fixed:80,"q_proj, v_proj",10635,0.8205561355996367,0.4836883544921875,0.6145155240881874,0.5513045787811279,0.6145155240881874,0.5513045787811279,0.0010111342739427141,5.962681370874634e-08,0.05055671361859477,2.981340685437317e-06,0.0,0.0,0.0,0.0,1.485628373795559,1.0349959135055542,1.0472450475687094,1.139792954822717,0.0920810069360145,6.163763625364083e-06,0.0,0.0
simple_avg_factor_orth,simple_avg,simple_avg_factor_orth,False,0.0,0.0,False,True,50.0,80,fixed:80,"q_proj, v_proj",10635,1.1026924040461012,0.16900348663330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.591091548160775,1.024962216433778e-06,379.5545772922112,5.124810923007317e-05,380.65726993689424,0.16905473172664642,0.0,0.0,0.0,0.0,113.35387848263944,0.0003032369938081023
simple_avg_factor_orth_kd_T1,simple_avg,simple_avg_factor_orth_kd,True,1.0,1.0,False,True,50.0,80,fixed:80,"q_proj, v_proj",10635,1.549232507746826,0.9281158447265625,0.7677054965557714,0.7223268151283264,0.7677054965557714,0.7223268151283264,0.0,0.0,0.0,0.0,7.565233317371442,7.098042260622606e-07,378.2616652085027,3.549021130311303e-05,380.57860312466056,1.6504781246185303,0.5167926539381145,0.778272259041496,0.0,0.0,103.04041237072225,3.823898870461668e-05
simple_avg_factor_orth_kd_T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,1.0,False,True,50.0,80,fixed:80,"q_proj, v_proj",10635,1.4040274529009846,0.5745086669921875,0.7888332526113262,0.6228662729263306,0.7888332526113262,0.6228662729263306,0.0,0.0,0.0,0.0,7.558217752630651,8.425477062701248e-07,377.910887323686,4.212738713249564e-05,380.1037477503122,1.1974170207977295,0.6660628069587038,1.0841721086406457,0.0,0.0,104.21417831606142,7.332767902872245e-05
rank_extension,rank_extension,rank_extension,False,0.0,0.0,False,False,0.0,80,16->32->48->64->80,"q_proj, v_proj",10635,0.6632369522119163,0.05780678987503052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6632369522119163,0.05780678987503052,0.0,0.0,0.0,0.0,0.0,0.0
