method,eval_set,accuracy,loss
simple_avg,first_step,0.5805,2.9516079425811768
simple_avg,later_steps,0.41725,3.2064414024353027
simple_avg,all_seen,0.4499,3.155472993850708
simple_avg_kd_T1,first_step,0.7745,2.4879813194274902
simple_avg_kd_T1,later_steps,0.235875,3.5389397144317627
simple_avg_kd_T1,all_seen,0.3436,3.328746795654297
simple_avg_kd_T2,first_step,0.7745,2.4962053298950195
simple_avg_kd_T2,later_steps,0.295875,3.4534730911254883
simple_avg_kd_T2,all_seen,0.3916,3.262019157409668
simple_avg_delta_orth,first_step,0.337,3.152155876159668
simple_avg_delta_orth,later_steps,0.630125,2.3222153186798096
simple_avg_delta_orth,all_seen,0.5715,2.4882030487060547
simple_avg_delta_orth_kd_T1,first_step,0.5905,2.8042421340942383
simple_avg_delta_orth_kd_T1,later_steps,0.585375,2.7694995403289795
simple_avg_delta_orth_kd_T1,all_seen,0.5864,2.7764480113983154
simple_avg_delta_orth_kd_T2,first_step,0.5605,2.8191611766815186
simple_avg_delta_orth_kd_T2,later_steps,0.611625,2.6187634468078613
simple_avg_delta_orth_kd_T2,all_seen,0.6014,2.6588430404663086
simple_avg_factor_orth,first_step,0.014,4.071417808532715
simple_avg_factor_orth,later_steps,0.73275,1.2739609479904175
simple_avg_factor_orth,all_seen,0.589,1.8334511518478394
simple_avg_factor_orth_kd_T1,first_step,0.12,3.358520984649658
simple_avg_factor_orth_kd_T1,later_steps,0.719875,1.652583360671997
simple_avg_factor_orth_kd_T1,all_seen,0.5999,1.9937710762023926
simple_avg_factor_orth_kd_T2,first_step,0.1145,3.397413492202759
simple_avg_factor_orth_kd_T2,later_steps,0.729625,1.4383423328399658
simple_avg_factor_orth_kd_T2,all_seen,0.6066,1.830155849456787
rank_extension,first_step,0.0005,7.245407581329346
rank_extension,later_steps,0.25575,5.171318531036377
rank_extension,all_seen,0.2047,5.58613920211792
rank_extension_kd_only_T1,first_step,0.7145,1.106811285018921
rank_extension_kd_only_T1,later_steps,0.511875,1.6126066446304321
rank_extension_kd_only_T1,all_seen,0.5524,1.5114500522613525
rank_extension_kd_only_T2,first_step,0.5985,1.2439020872116089
rank_extension_kd_only_T2,later_steps,0.51125,1.6119675636291504
rank_extension_kd_only_T2,all_seen,0.5287,1.5383563041687012
rank_extension_orth_delta_trace_lam_50,first_step,0.0275,6.1988630294799805
rank_extension_orth_delta_trace_lam_50,later_steps,0.255875,4.799744129180908
rank_extension_orth_delta_trace_lam_50,all_seen,0.2102,5.0795674324035645
rank_extension_orth_delta_trace_lam_50_kd_T1,first_step,0.7345,1.0487265586853027
rank_extension_orth_delta_trace_lam_50_kd_T1,later_steps,0.523625,1.5995302200317383
rank_extension_orth_delta_trace_lam_50_kd_T1,all_seen,0.5658,1.4893686771392822
rank_extension_orth_delta_trace_lam_50_kd_T2,first_step,0.6235,1.2329108715057373
rank_extension_orth_delta_trace_lam_50_kd_T2,later_steps,0.53375,1.558691143989563
rank_extension_orth_delta_trace_lam_50_kd_T2,all_seen,0.5517,1.4935364723205566
rank_extension_orth_factor_lam_50,first_step,0.1215,4.792603492736816
rank_extension_orth_factor_lam_50,later_steps,0.406625,2.7072815895080566
rank_extension_orth_factor_lam_50,all_seen,0.3496,3.1243464946746826
rank_extension_orth_factor_lam_50_kd_T1,first_step,0.8345,0.6684922575950623
rank_extension_orth_factor_lam_50_kd_T1,later_steps,0.585625,1.4329023361206055
rank_extension_orth_factor_lam_50_kd_T1,all_seen,0.6354,1.2800213098526
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.8,0.7316083908081055
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.655375,1.2480818033218384
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6843,1.1447888612747192
