plot_filename,source_file,columns_used,methods_included,missing_columns
supervisor_selected_accuracy_comparison_clean.png,tables\final_accuracy_selected_methods.csv,"method, first_step, later_steps, all_seen","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
train_ce_loss_by_method_step_gaps.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_ce_loss","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
validation_ce_loss_by_method_step_gaps.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, val_ce_loss","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
train_val_ce_loss_faceted_step_gaps.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_ce_loss, val_ce_loss","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
kd_loss_by_method_step_gaps.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_kd_loss_weighted","simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
factor_orth_loss_raw_step_gaps.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_factor_orth_loss_raw","simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
factor_orth_loss_weighted_log_step_gaps.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_factor_orth_loss_weighted","simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
total_loss_by_method_step_gaps_linear.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_total_loss","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
total_loss_by_method_step_gaps_log.png,tables\training_loss_history_by_epoch.csv,"method_name, step_id, epoch, train_total_loss","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
combined_loss_decomposition_faceted_step_gaps.png,tables\training_loss_history_by_epoch.csv,"train_ce_loss, train_kd_loss_raw, train_kd_loss_weighted, train_factor_orth_loss_raw, train_factor_orth_loss_weighted, train_delta_trace_loss_raw, train_delta_trace_loss_weighted, train_total_loss, method_name, step_id, epoch","simple_avg, rank_extension, simple_avg_factor_orth, rank_extension_orth_factor_lam_50, simple_avg_kd_T2, rank_extension_kd_only_T2, simple_avg_factor_orth_kd_T2, rank_extension_orth_factor_lam_50_kd_T2",
