method_name,display_name,family,orth_type,lambda_delta_trace,lambda_factor_orth,kd_enabled,kd_temperature,kd_weight,replay_per_class,rankext_new_rank_per_step,lora_rank_or_current_rank,lora_alpha,target_modules,zero_old_merge,old_active_in_forward,supervisor_requested_name
simple_avg,SimpleAvg,simple_avg,none,0.0,0.0,False,0.0,0.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg
simple_avg_kd_T1,SimpleAvg + KD T1,simple_avg,none,0.0,0.0,True,1.0,1.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_kd_T1
simple_avg_kd_T2,SimpleAvg + KD T2,simple_avg,none,0.0,0.0,True,2.0,1.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_kd_T2
simple_avg_delta_orth,SimpleAvg + DeltaTrace,simple_avg,delta_trace,50.0,0.0,False,0.0,0.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_delta_orth
simple_avg_delta_orth_kd_T1,SimpleAvg + DeltaTrace + KD T1,simple_avg,delta_trace,50.0,0.0,True,1.0,1.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_delta_orth_kd_T1
simple_avg_delta_orth_kd_T2,SimpleAvg + DeltaTrace + KD T2,simple_avg,delta_trace,50.0,0.0,True,2.0,1.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_delta_orth_kd_T2
simple_avg_factor_orth,SimpleAvg + FactorOrth,simple_avg,factor_orth,0.0,50.0,False,0.0,0.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_factor_orth_lam_50
simple_avg_factor_orth_kd_T1,SimpleAvg + FactorOrth + KD T1,simple_avg,factor_orth,0.0,50.0,True,1.0,1.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_factor_orth_kd_T1
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,simple_avg,factor_orth,0.0,50.0,True,2.0,1.0,0,,80,160.0,"q_proj, v_proj",False,,simple_avg_factor_orth_lam_50_kd_T2
rank_extension,RankExt,rank_extension,none,0.0,0.0,False,0.0,0.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension,none,0.0,0.0,True,1.0,1.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_kd_only_T1
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,none,0.0,0.0,True,2.0,1.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_kd_only_T2
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,delta_trace,50.0,0.0,False,0.0,0.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_orth_delta_trace_lam_50
rank_extension_orth_delta_trace_lam_50_kd_T1,RankExt + DeltaTrace + KD T1,rank_extension,delta_trace,50.0,0.0,True,1.0,1.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_orth_delta_trace_lam_50_kd_T1
rank_extension_orth_delta_trace_lam_50_kd_T2,RankExt + DeltaTrace + KD T2,rank_extension,delta_trace,50.0,0.0,True,2.0,1.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_orth_delta_trace_lam_50_kd_T2
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,rank_extension,factor_orth,0.0,50.0,False,0.0,0.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_orth_factor_lam_50
rank_extension_orth_factor_lam_50_kd_T1,RankExt + FactorOrth + KD T1,rank_extension,factor_orth,0.0,50.0,True,1.0,1.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_orth_factor_lam_50_kd_T1
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,rank_extension,factor_orth,0.0,50.0,True,2.0,1.0,0,16->16->16->16->16,16->32->48->64->80,160.0,"q_proj, v_proj",False,True,rank_extension_orth_factor_lam_50_kd_T2
