method,family,base_method,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,uses_replay,uses_zero_old,rank,rank_schedule,target_modules,display_name,supervisor_requested_name,orth_type,lambda_delta_trace,lambda_factor_orth,kd_enabled,replay_per_class,zero_old_merge,rankext_new_rank_per_step,lora_rank_or_current_rank,lora_alpha,internal_method_name,first_step,later_steps,all_seen,old_new_gap,avg_forgetting,old_active_in_forward,mean_train_ce_loss,final_train_ce_loss,mean_val_ce_loss,final_val_ce_loss,mean_train_total_loss,final_train_total_loss,mean_val_total_loss,final_val_total_loss,mean_kd_weighted_over_ce,mean_factor_orth_weighted_over_ce,mean_delta_trace_weighted_over_ce,factor_lambda,delta_trace_lambda,delta_vs_simple_avg,rank_extension_minus_simple_avg,rank_all_seen,kd_gain,orth_gain,replay_gain,gap_to_joint_upper_bound
simple_avg,simple_avg,simple_avg,False,0.0,0.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg,simple_avg,none,0.0,0.0,False,0,False,,80,160.0,simple_avg,50.3,39.775,41.88,10.524999999999999,,,0.5244317667010084,0.048879246784746644,0.2113930486783385,0.09157092093676329,0.5244317667010084,0.048879246784746644,,,,,,0.0,0.0,0.0,,13,,,,
simple_avg_kd_T1,simple_avg,simple_avg_kd,True,1.0,1.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + KD T1,simple_avg_kd_T1,none,0.0,0.0,True,0,False,,80,160.0,simple_avg_kd_T1,69.6,22.325,31.78,47.27499999999999,,,1.0412679849679323,0.744259433555603,0.7870035452276468,0.8095737299919128,1.7423923330779274,1.4623810037612914,,,0.7150330335092172,,,0.0,0.0,-10.100000000000001,,16,-10.100000000000001,,,
simple_avg_kd_T2,simple_avg,simple_avg_kd,True,2.0,1.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + KD T2,simple_avg_kd_T2,none,0.0,0.0,True,0,False,,80,160.0,simple_avg_kd_T2,71.0,26.875,35.699999999999996,44.125,,,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,,,1.0696147688967537,,,0.0,0.0,-6.180000000000007,,14,-6.180000000000007,,,
simple_avg_delta_orth,simple_avg,simple_avg_delta_orth,False,0.0,0.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + DeltaTrace,simple_avg_delta_orth,delta_trace,50.0,0.0,False,0,False,,80,160.0,simple_avg_delta_orth,29.2,63.887499999999996,56.95,-34.6875,,,0.6306698692614081,0.07054543012082577,0.20730769770840807,0.12439606475830078,0.7232546894540716,0.08201923094093799,,,,,0.27136235694827326,0.0,50.0,15.07,,9,,15.07,,
simple_avg_delta_orth_kd_T1,simple_avg,simple_avg_delta_orth_kd,True,1.0,1.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + DeltaTrace + KD T1,simple_avg_delta_orth_kd_T1,delta_trace,50.0,0.0,True,0,False,,80,160.0,simple_avg_delta_orth_kd_T1,51.24999999999999,57.3375,56.120000000000005,-6.087500000000006,,,1.1364265258649908,0.7659718033790588,0.807871270059546,0.8683784174919128,1.9357802618842888,1.511894167327881,,,0.6980907065446035,,0.04567754899811024,0.0,50.0,14.240000000000002,,10,-0.8299999999999983,24.340000000000003,,
simple_avg_delta_orth_kd_T2,simple_avg,simple_avg_delta_orth_kd,True,2.0,1.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + DeltaTrace + KD T2,simple_avg_delta_orth_kd_T2,delta_trace,50.0,0.0,True,0,False,,80,160.0,simple_avg_delta_orth_kd_T2,47.65,60.78750000000001,58.160000000000004,-13.13750000000001,,,0.9187073046105788,0.40038389077186587,0.5460709525336822,0.492639404296875,1.6990996947420598,0.9948117915153504,,,1.0369164643196058,,0.06406085561107996,0.0,50.0,16.28,,6,1.2100000000000009,22.460000000000008,,
simple_avg_factor_orth,simple_avg,simple_avg_factor_orth,False,0.0,0.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + FactorOrth,simple_avg_factor_orth_lam_50,factor_orth,0.0,50.0,False,0,False,,80,160.0,simple_avg_factor_orth,1.35,72.875,58.57,-71.525,,,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.25805430998206136,,,,128.45560448579778,,50.0,0.0,16.689999999999998,,5,,16.689999999999998,,
simple_avg_factor_orth_kd_T1,simple_avg,simple_avg_factor_orth_kd,True,1.0,1.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + FactorOrth + KD T1,simple_avg_factor_orth_kd_T1,factor_orth,0.0,50.0,True,0,False,,80,160.0,simple_avg_factor_orth_kd_T1,14.75,72.28750000000001,60.78,-57.53750000000001,,,1.6372543899513152,0.96780980052948,1.2281399549235903,1.0651489238739014,434.11595589155246,1.7088645263671876,,,0.5099686988666892,116.15790912209714,,50.0,0.0,18.9,,4,2.210000000000001,29.0,,
simple_avg_factor_orth_kd_T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,1.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + FactorOrth + KD T2,simple_avg_factor_orth_lam_50_kd_T2,factor_orth,0.0,50.0,True,0,False,,80,160.0,simple_avg_factor_orth_kd_T2,10.4,73.88749999999999,61.19,-63.48749999999999,,,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,,,0.6546595055366644,118.20263871038483,,50.0,0.0,19.309999999999995,,3,2.6199999999999974,25.490000000000002,,
rank_extension,rank_extension,rank_extension,False,0.0,0.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt,rank_extension,none,0.0,0.0,False,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension,2.9499999999999997,25.4625,20.96,-22.5125,0.9157500000000001,True,0.7386863557585633,0.07530282837748528,0.2522902602384488,0.15965299986302853,0.7386863557585633,0.07530282837748528,,,,,,0.0,0.0,-20.92,-20.92,17,,,,
rank_extension_kd_only_T1,rank_extension,rank_extension_kd_only,True,1.0,1.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + KD T1,rank_extension_kd_only_T1,none,0.0,0.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_kd_only_T1,73.8,53.837500000000006,57.830000000000005,19.96249999999999,0.270625,True,1.2731841643396566,0.8541059905052185,0.9002019134193658,0.9509873056411743,1.885982767602277,1.6188969268798827,,,0.6011602822985548,,,0.0,0.0,15.950000000000003,15.950000000000003,8,36.870000000000005,,,
rank_extension_kd_only_T2,rank_extension,rank_extension_kd_only,True,2.0,1.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + KD T2,rank_extension_kd_only_T2,none,0.0,0.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_kd_only_T2,59.0,53.1625,54.33,5.837499999999999,0.38749999999999996,True,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,,,0.9993104322370439,,,0.0,0.0,12.449999999999996,12.449999999999996,12,33.37,,,
rank_extension_orth_delta_trace_lam_50,rank_extension,rank_extension_orth_delta_trace_lam_50,False,0.0,0.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + DeltaTrace,rank_extension_orth_delta_trace_lam_50,delta_trace,50.0,0.0,False,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_delta_trace_lam_50,1.6,25.074999999999996,20.380000000000003,-23.474999999999994,0.918625,True,0.7644819409354271,0.0976668200969696,0.2711636604348818,0.15207962787151336,0.7715737586954301,0.09984492221027613,,,,,0.03486772452739091,0.0,50.0,-21.5,-21.5,18,,-0.5799999999999983,,
rank_extension_orth_delta_trace_lam_50_kd_T1,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,True,1.0,1.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + DeltaTrace + KD T1,rank_extension_orth_delta_trace_lam_50_kd_T1,delta_trace,50.0,0.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_delta_trace_lam_50_kd_T1,76.05,53.675,58.15,22.375,0.25825,True,1.2919691334415093,0.8692027660369873,0.9170871187200149,0.9686591787338257,1.90870777961289,1.641809009552002,,,0.5916883101312984,,0.003219312702309071,0.0,50.0,16.269999999999996,16.269999999999996,7,37.769999999999996,0.3199999999999932,,
rank_extension_orth_delta_trace_lam_50_kd_T2,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,True,2.0,1.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + DeltaTrace + KD T2,rank_extension_orth_delta_trace_lam_50_kd_T2,delta_trace,50.0,0.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_delta_trace_lam_50_kd_T2,62.050000000000004,54.3875,55.92,7.662500000000001,0.365875,True,1.123745628846082,0.555110277414322,0.7193168061882257,0.6429465322494506,1.903456013875484,1.3853771326065063,,,0.9803027516626446,,0.004892558460284523,0.0,50.0,14.04,14.04,11,35.54,1.5900000000000034,,
rank_extension_orth_factor_lam_50,rank_extension,rank_extension_orth_factor_lam_50,False,0.0,0.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + FactorOrth,rank_extension_orth_factor_lam_50,factor_orth,0.0,50.0,False,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_factor_lam_50,10.7,40.112500000000004,34.23,-29.412500000000005,0.7493749999999999,True,1.3355570184114702,0.11316866671442985,0.24947821439603962,0.12339340209960938,25.164047591028044,0.11549538929536939,,,,3.03001981837635,,50.0,0.0,-7.650000000000006,-7.650000000000006,15,,13.269999999999996,,
rank_extension_orth_factor_lam_50_kd_T1,rank_extension,rank_extension_orth_factor_lam_50_kd,True,1.0,1.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + FactorOrth + KD T1,rank_extension_orth_factor_lam_50_kd_T1,factor_orth,0.0,50.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_factor_lam_50_kd_T1,84.5,57.7625,63.11,26.737499999999997,0.15787500000000004,True,1.774232273744604,0.9554003287315369,0.9586937101672092,0.9961845693588257,6.838437891866988,1.705021459388733,,,0.48312004944705933,0.6077548107373004,,50.0,0.0,21.229999999999997,21.229999999999997,2,28.880000000000003,5.279999999999994,,
rank_extension_orth_factor_lam_50_kd_T2,rank_extension,rank_extension_orth_factor_lam_50_kd,True,2.0,1.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + FactorOrth + KD T2,rank_extension_orth_factor_lam_50_kd_T2,factor_orth,0.0,50.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_factor_lam_50_kd_T2,80.05,65.17500000000001,68.15,14.874999999999986,0.17024999999999998,True,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.5073330904006959,,,0.7674655881587586,0.6560621635760779,,50.0,0.0,26.270000000000003,26.270000000000003,1,33.92000000000001,13.820000000000007,,
