method,eval_set,accuracy,loss
simple_avg,first_step,0.82,0.8198472261428833
simple_avg,later_steps,0.696125,1.0964539051055908
simple_avg,all_seen,0.7209,1.0411330461502075
simple_avg_kd_T2,first_step,0.889,0.6971435546875
simple_avg_kd_T2,later_steps,0.671625,1.4777417182922363
simple_avg_kd_T2,all_seen,0.7151,1.32162344455719
simple_avg_factor_orth,first_step,0.712,0.9649016261100769
simple_avg_factor_orth,later_steps,0.76625,0.8055480718612671
simple_avg_factor_orth,all_seen,0.7554,0.8374185562133789
simple_avg_factor_orth_kd_T2,first_step,0.7775,0.7820913195610046
simple_avg_factor_orth_kd_T2,later_steps,0.682875,1.2398828268051147
simple_avg_factor_orth_kd_T2,all_seen,0.7018,1.1483243703842163
rank_extension,first_step,0.009,8.320496559143066
rank_extension,later_steps,0.296375,5.408708095550537
rank_extension,all_seen,0.2389,5.991067409515381
rank_extension_kd_only_T2,first_step,0.4985,1.374108076095581
rank_extension_kd_only_T2,later_steps,0.58925,1.3518413305282593
rank_extension_kd_only_T2,all_seen,0.5711,1.3562954664230347
rank_extension_orth_factor_lam_50,first_step,0.022,6.778769493103027
rank_extension_orth_factor_lam_50,later_steps,0.370125,3.4536194801330566
rank_extension_orth_factor_lam_50,all_seen,0.3005,4.118651390075684
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.603,1.1437851190567017
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.643375,1.229635238647461
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6353,1.212465763092041
