method,step_id,accuracy
rank_extension,1,0.8999999999999999
rank_extension,2,1.25
rank_extension,3,1.6
rank_extension,4,18.9
rank_extension,5,96.8
rank_extension_kd_only_T2,1,49.85
rank_extension_kd_only_T2,2,36.25
rank_extension_kd_only_T2,3,38.6
rank_extension_kd_only_T2,4,66.3
rank_extension_kd_only_T2,5,94.55
rank_extension_orth_factor_lam_50,1,2.1999999999999997
rank_extension_orth_factor_lam_50,2,12.1
rank_extension_orth_factor_lam_50,3,9.9
rank_extension_orth_factor_lam_50,4,29.549999999999997
rank_extension_orth_factor_lam_50,5,96.5
rank_extension_orth_factor_lam_50_kd_T2,1,60.3
rank_extension_orth_factor_lam_50_kd_T2,2,45.300000000000004
rank_extension_orth_factor_lam_50_kd_T2,3,47.25
rank_extension_orth_factor_lam_50_kd_T2,4,70.95
rank_extension_orth_factor_lam_50_kd_T2,5,93.85
simple_avg,1,82.0
simple_avg,2,68.0
simple_avg,3,68.65
simple_avg,4,61.9
simple_avg,5,79.9
simple_avg_factor_orth,1,71.2
simple_avg_factor_orth,2,78.85
simple_avg_factor_orth,3,72.35000000000001
simple_avg_factor_orth,4,70.19999999999999
simple_avg_factor_orth,5,85.1
simple_avg_factor_orth_kd_T2,1,77.75
simple_avg_factor_orth_kd_T2,2,70.7
simple_avg_factor_orth_kd_T2,3,66.2
simple_avg_factor_orth_kd_T2,4,57.3
simple_avg_factor_orth_kd_T2,5,78.95
simple_avg_kd_T2,1,88.9
simple_avg_kd_T2,2,68.5
simple_avg_kd_T2,3,67.4
simple_avg_kd_T2,4,60.35
simple_avg_kd_T2,5,72.39999999999999
