method,eval_set,accuracy,loss
simple_avg,first_step,0.5405,2.7185401916503906
simple_avg,later_steps,0.465125,2.8257856369018555
simple_avg,all_seen,0.4802,2.8043367862701416
simple_avg_kd_T2,first_step,0.745,2.27046537399292
simple_avg_kd_T2,later_steps,0.33675,3.1794912815093994
simple_avg_kd_T2,all_seen,0.4184,2.997685432434082
simple_avg_factor_orth,first_step,0.008,4.820277214050293
simple_avg_factor_orth,later_steps,0.779625,0.7794508337974548
simple_avg_factor_orth,all_seen,0.6253,1.5876168012619019
simple_avg_factor_orth_kd_T2,first_step,0.118,3.4153199195861816
simple_avg_factor_orth_kd_T2,later_steps,0.7725,1.1492592096328735
simple_avg_factor_orth_kd_T2,all_seen,0.6416,1.6024718284606934
rank_extension,first_step,0.008,8.103939056396484
rank_extension,later_steps,0.27075,5.946669101715088
rank_extension,all_seen,0.2182,6.378118515014648
rank_extension_kd_only_T2,first_step,0.5955,1.2200078964233398
rank_extension_kd_only_T2,later_steps,0.58675,1.3675733804702759
rank_extension_kd_only_T2,all_seen,0.5885,1.3380603790283203
rank_extension_orth_factor_lam_50,first_step,0.0225,7.068244934082031
rank_extension_orth_factor_lam_50,later_steps,0.41975,3.2804665565490723
rank_extension_orth_factor_lam_50,all_seen,0.3403,4.038021087646484
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.717,0.9126142263412476
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.6665,1.201062798500061
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6766,1.143373966217041
