method,eval_set,accuracy,loss
simple_avg,first_step,0.82,0.8198472261428833
simple_avg,later_steps,0.696125,1.0964539051055908
simple_avg,all_seen,0.7209,1.0411330461502075
simple_avg_kd_T2,first_step,0.889,0.6971435546875
simple_avg_kd_T2,later_steps,0.671625,1.4777417182922363
simple_avg_kd_T2,all_seen,0.7151,1.32162344455719
simple_avg_factor_orth,first_step,0.712,0.9649016261100769
simple_avg_factor_orth,later_steps,0.76625,0.8055480718612671
simple_avg_factor_orth,all_seen,0.7554,0.8374185562133789
simple_avg_factor_orth_kd_T2,first_step,0.851,0.5764210820198059
simple_avg_factor_orth_kd_T2,later_steps,0.583625,1.5075616836547852
simple_avg_factor_orth_kd_T2,all_seen,0.6371,1.321333408355713
rank_extension,first_step,0.4195,2.6466240882873535
rank_extension,later_steps,0.5695,2.029299020767212
rank_extension,all_seen,0.5395,2.152764320373535
rank_extension_kd_only_T2,first_step,0.947,0.28597909212112427
rank_extension_kd_only_T2,later_steps,0.38975,1.7402403354644775
rank_extension_kd_only_T2,all_seen,0.5012,1.4493870735168457
rank_extension_orth_factor_lam_50,first_step,0.6625,1.5978398323059082
rank_extension_orth_factor_lam_50,later_steps,0.64625,1.4348698854446411
rank_extension_orth_factor_lam_50,all_seen,0.6495,1.467464566230774
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.9555,0.15793347358703613
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.089125,3.120220184326172
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.2624,2.527765989303589
