method,step_id,accuracy
rank_extension,1,41.949999999999996
rank_extension,2,43.9
rank_extension,3,34.849999999999994
rank_extension,4,52.1
rank_extension,5,96.95
rank_extension_kd_only_T2,1,94.69999999999999
rank_extension_kd_only_T2,2,15.9
rank_extension_kd_only_T2,3,34.9
rank_extension_kd_only_T2,4,45.95
rank_extension_kd_only_T2,5,59.150000000000006
rank_extension_orth_factor_lam_50,1,66.25
rank_extension_orth_factor_lam_50,2,46.9
rank_extension_orth_factor_lam_50,3,51.7
rank_extension_orth_factor_lam_50,4,64.0
rank_extension_orth_factor_lam_50,5,95.89999999999999
rank_extension_orth_factor_lam_50_kd_T2,1,95.55
rank_extension_orth_factor_lam_50_kd_T2,2,5.5
rank_extension_orth_factor_lam_50_kd_T2,3,9.3
rank_extension_orth_factor_lam_50_kd_T2,4,7.3999999999999995
rank_extension_orth_factor_lam_50_kd_T2,5,13.450000000000001
simple_avg,1,82.0
simple_avg,2,68.0
simple_avg,3,68.65
simple_avg,4,61.9
simple_avg,5,79.9
simple_avg_factor_orth,1,71.2
simple_avg_factor_orth,2,78.85
simple_avg_factor_orth,3,72.35000000000001
simple_avg_factor_orth,4,70.19999999999999
simple_avg_factor_orth,5,85.1
simple_avg_factor_orth_kd_T2,1,85.1
simple_avg_factor_orth_kd_T2,2,58.699999999999996
simple_avg_factor_orth_kd_T2,3,53.400000000000006
simple_avg_factor_orth_kd_T2,4,49.1
simple_avg_factor_orth_kd_T2,5,72.25
simple_avg_kd_T2,1,88.9
simple_avg_kd_T2,2,68.5
simple_avg_kd_T2,3,67.4
simple_avg_kd_T2,4,60.35
simple_avg_kd_T2,5,72.39999999999999
