method,step,parameter,group,shape,numel
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.k_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.k_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.out_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.out_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.k_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.k_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.out_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.out_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.k_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.k_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.out_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.out_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.k_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.k_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.out_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.out_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.k_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.k_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.out_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.out_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.k_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.k_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.B_new,lora_new,"[768, 16]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.q_proj.A_new,lora_new,"[16, 768]",12288
rank_extension_kd_only_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.q_proj.B_new,lora_new,"[768, 16]",12288
