method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,1,1,1,1.1347816788306408,0.2435518271625042,1.1347816788306408,,,,,,,9.996164380804483e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,2,2,0.1635576612025988,0.165718651086092,0.1635576612025988,,,,,,,9.55111402123446e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,3,3,0.09186492790849726,0.20263120055943729,0.09186492790849726,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,4,4,0.05297166434341859,0.20294617748167365,0.05297166434341859,,,,,,,6.799760704097911e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,5,5,0.02777923410504314,0.24646840047836305,0.02777923410504314,,,,,,,4.902076315486023e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,6,6,0.014750781857702485,0.19677954912139103,0.014750781857702485,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,7,7,0.007365441835031188,0.21519474149122833,0.007365441835031188,,,,,,,1.4300127155289572e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,7,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,8,8,0.008274174412413305,0.20979252004623414,0.008274174412413305,,,,,,,3.712887094594453e-06,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,8,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,1,9,9,0.010509758456298732,0.2073358721770346,0.010509758456298732,,,,,,,0.0,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,9,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
rank_extension,RankExt,2,1,10,1.9804803540780775,0.2658740345239639,1.9804803540780775,,,,,,,9.996164380804483e-05,0.0,0.0,80,160,0.05,,16,9,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, k_proj, v_proj, out_proj",,,,,,,,,,,"q_proj, k_proj, v_proj, out_proj"
