method,eval_set,accuracy,loss
simple_avg,first_step,0.5305,2.927708148956299
simple_avg,later_steps,0.473875,2.9850454330444336
simple_avg,all_seen,0.4852,2.973576784133911
simple_avg_kd_T2,first_step,0.801,2.2759389877319336
simple_avg_kd_T2,later_steps,0.289125,3.401806116104126
simple_avg_kd_T2,all_seen,0.3915,3.1766326427459717
simple_avg_factor_orth,first_step,0.008,4.4233856201171875
simple_avg_factor_orth,later_steps,0.768375,0.866256594657898
simple_avg_factor_orth,all_seen,0.6163,1.5776817798614502
simple_avg_factor_orth_kd_T2,first_step,0.132,3.3253774642944336
simple_avg_factor_orth_kd_T2,later_steps,0.7645,1.2100226879119873
simple_avg_factor_orth_kd_T2,all_seen,0.638,1.6330939531326294
rank_extension,first_step,0.0375,6.9819016456604
rank_extension,later_steps,0.285125,5.263026237487793
rank_extension,all_seen,0.2356,5.606800079345703
rank_extension_kd_only_T2,first_step,0.694,0.9524200558662415
rank_extension_kd_only_T2,later_steps,0.567625,1.4172648191452026
rank_extension_kd_only_T2,all_seen,0.5929,1.3242961168289185
rank_extension_orth_factor_lam_50,first_step,0.0835,5.753640651702881
rank_extension_orth_factor_lam_50,later_steps,0.417875,2.9443066120147705
rank_extension_orth_factor_lam_50,all_seen,0.351,3.5061726570129395
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.803,0.7046930193901062
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.649,1.2104240655899048
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6798,1.1092771291732788
