method,display_method_name,cl_step,local_epoch,global_epoch,train_ce_loss,val_ce_loss,train_total_loss,kd_loss_raw,kd_loss_weighted,factor_orth_loss_raw,factor_orth_loss_weighted,delta_trace_loss_raw,delta_trace_loss_weighted,learning_rate,lambda_orth,kd_temperature,lora_rank,lora_alpha,lora_dropout,target_modules,batch_size,num_epochs,optimizer,scheduler,method_name,display_name,family,base_method,step_id,epoch,uses_kd,kd_weight,uses_delta_trace,uses_factor_orth,lambda_delta_trace,lambda_factor_orth,orth_type,rank,rank_schedule,target_modules_x,train_kd_loss_raw,train_kd_loss_weighted,train_delta_trace_loss_raw,train_delta_trace_loss_weighted,train_factor_orth_loss_raw,train_factor_orth_loss_weighted,train_delta_trace_weighted_over_ce,train_factor_orth_weighted_over_ce,train_kd_weighted_over_ce,val_total_loss,target_modules_y
rank_extension,RankExt,1,1,1,1.7527407560186574,0.2648649595975876,1.7527407560186574,,,,,,,9.86480580696908e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,1,2,2,0.18605913265806728,0.1741650161743164,0.18605913265806728,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,1,3,3,0.11508613038258475,0.1616349697113037,0.11508613038258475,,,,,,,5.8671692881207665e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,1,4,4,0.07038376003228983,0.13799563502520323,0.07038376003228983,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,1,5,5,0.05086415144500368,0.15171554853022098,0.05086415144500368,,,,,,,8.223616450958865e-06,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,1,6,6,0.039816779790073635,0.14574379087239503,0.039816779790073635,,,,,,,0.0,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,1,6,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,1,7,2.704888843902297,0.38343197625875475,2.704888843902297,,,,,,,9.86480580696908e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,1,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,2,8,0.19423615765437238,0.22842989541590214,0.19423615765437238,,,,,,,8.430152761045664e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,2,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,3,9,0.10551419266896536,0.18798690223321318,0.10551419266896536,,,,,,,5.8671692881207665e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,3,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,4,10,0.06287376477829654,0.17650896453950554,0.06287376477829654,,,,,,,3.018935110253619e-05,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,4,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
rank_extension,RankExt,2,5,11,0.042282708886949745,0.1782056040763855,0.042282708886949745,,,,,,,8.223616450958865e-06,0.0,0.0,80,160,0.1,,16,6,AdamW,cosine,rank_extension,RankExt,rank_extension,rank_extension,2,5,False,0.0,False,False,0.0,0.0,none,80,16->32->48->64->80,"q_proj, v_proj",,,,,,,,,,,"q_proj, v_proj"
