method,eval_set,accuracy,loss
simple_avg,first_step,0.503,3.023453712463379
simple_avg,later_steps,0.39775,3.256606340408325
simple_avg,all_seen,0.4188,3.2099759578704834
simple_avg_kd_T2,first_step,0.71,2.4694697856903076
simple_avg_kd_T2,later_steps,0.26875,3.4734859466552734
simple_avg_kd_T2,all_seen,0.357,3.2726831436157227
simple_avg_delta_orth,first_step,0.292,3.2396411895751953
simple_avg_delta_orth,later_steps,0.638875,2.314373016357422
simple_avg_delta_orth,all_seen,0.5695,2.49942684173584
simple_avg_factor_orth,first_step,0.0135,4.205089092254639
simple_avg_factor_orth,later_steps,0.72875,1.3088005781173706
simple_avg_factor_orth,all_seen,0.5857,1.888059377670288
simple_avg_factor_orth_kd_T2,first_step,0.104,3.483074188232422
simple_avg_factor_orth_kd_T2,later_steps,0.738875,1.4378435611724854
simple_avg_factor_orth_kd_T2,all_seen,0.6119,1.8468894958496094
rank_extension,first_step,0.0295,6.328028202056885
rank_extension,later_steps,0.254625,5.027461051940918
rank_extension,all_seen,0.2096,5.287569522857666
rank_extension_kd_only_T2,first_step,0.59,1.259784460067749
rank_extension_kd_only_T2,later_steps,0.531625,1.5576701164245605
rank_extension_kd_only_T2,all_seen,0.5433,1.4980928897857666
rank_extension_orth_delta_trace_lam_50,first_step,0.016,6.313412666320801
rank_extension_orth_delta_trace_lam_50,later_steps,0.25075,4.7844414710998535
rank_extension_orth_delta_trace_lam_50,all_seen,0.2038,5.090237617492676
rank_extension_orth_factor_lam_50,first_step,0.107,4.703573226928711
rank_extension_orth_factor_lam_50,later_steps,0.401125,2.719313859939575
rank_extension_orth_factor_lam_50,all_seen,0.3423,3.116164445877075
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.8005,0.7483737468719482
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.65175,1.255239725112915
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6815,1.1538673639297485
