method_name,display_name,family,mean_train_ce_loss,final_train_ce_loss,mean_val_ce_loss,final_val_ce_loss,mean_train_total_loss,final_train_total_loss,mean_val_total_loss,final_val_total_loss,mean_train_kd_loss_raw,final_train_kd_loss_raw,mean_train_kd_loss_weighted,final_train_kd_loss_weighted,mean_train_factor_orth_loss_raw,final_train_factor_orth_loss_raw,mean_train_factor_orth_loss_weighted,final_train_factor_orth_loss_weighted,mean_train_delta_trace_loss_raw,final_train_delta_trace_loss_raw,mean_train_delta_trace_loss_weighted,final_train_delta_trace_loss_weighted,mean_kd_weighted_over_ce,mean_factor_orth_weighted_over_ce,mean_delta_trace_weighted_over_ce,logged_epoch_rows
simple_avg,SimpleAvg,simple_avg,0.5244317667010084,0.048879246784746644,0.2113930486783385,0.09157092093676329,0.5244317667010084,0.048879246784746644,,,,,,,,,,,,,,,,,,15
simple_avg_kd_T2,SimpleAvg + KD T2,simple_avg,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,,,0.6821636720850411,0.5603648077011109,0.6821636720850411,0.5603648077011109,,,,,,,,,1.0696147688967537,,,15
simple_avg_delta_orth,SimpleAvg + DeltaTrace,simple_avg,0.6306698692614081,0.07054543012082577,0.20730769770840807,0.12439606475830078,0.7232546894540716,0.08201923094093799,,,,,,,,,,,0.001851696404912412,0.0002294760189226963,0.09258481998223107,0.011473800939209468,,,0.27136235694827326,15
simple_avg_factor_orth,SimpleAvg + FactorOrth,simple_avg,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.25805430998206136,,,,,,,8.691535787946801,0.00014769900763312763,434.5767888045859,0.007384950391645544,,,,,,128.45560448579778,,15
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,simple_avg,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,,,0.8198875023167925,0.6531710823059083,0.8198875023167925,0.6531710823059083,8.67143336480306,0.00015431014494533883,433.57166793895743,0.007715507239999715,,,,,0.6546595055366644,118.20263871038483,,15
rank_extension,RankExt,rank_extension,0.7386863557585633,0.07530282837748528,0.2522902602384488,0.15965299986302853,0.7386863557585633,0.07530282837748528,,,,,,,,,,,,,,,,,,15
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,,,0.7727198713541106,0.8148078930854797,0.7727198713541106,0.8148078930854797,,,,,,,,,0.9993104322370439,,,15
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension,0.7644819409354271,0.0976668200969696,0.2711636604348818,0.15207962787151336,0.7715737586954301,0.09984492221027613,,,,,,,,,,,0.00014183635885577176,4.3562041766142554e-05,0.007091817941216998,0.0021781020839658593,,,0.03486772452739091,15
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,rank_extension,1.3355570184114702,0.11316866671442985,0.24947821439603962,0.12339340209960938,25.164047591028044,0.11549538929536939,,,,,,,0.4765698118760355,4.6534446791338266e-05,23.82849056964017,0.0023267223440809177,,,,,,3.03001981837635,,15
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,rank_extension,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.5073330904006959,,,0.6682790700491954,0.8343507886886596,0.6682790700491954,0.8343507886886596,0.09044172746516259,3.733720357504353e-05,4.522086358792729,0.0018668601807788946,,,,,0.7674655881587586,0.6560621635760779,,15
