method,rank_all_seen,first_step,later_steps,all_seen,old_new_gap
rank_extension_orth_factor_lam_50_kd_T2,1,80.05,65.17500000000001,68.15,14.874999999999986
simple_avg_factor_orth_kd_T2,2,10.4,73.88749999999999,61.19,-63.48749999999999
simple_avg_factor_orth,3,1.35,72.875,58.57,-71.525
simple_avg_delta_orth,4,29.2,63.887499999999996,56.95,-34.6875
rank_extension_kd_only_T2,5,59.0,53.1625,54.33,5.837499999999999
simple_avg,6,50.3,39.775,41.88,10.524999999999999
simple_avg_kd_T2,7,71.0,26.875,35.699999999999996,44.125
rank_extension_orth_factor_lam_50,8,10.7,40.112500000000004,34.23,-29.412500000000005
rank_extension,9,2.9499999999999997,25.4625,20.96,-22.5125
rank_extension_orth_delta_trace_lam_50,10,1.6,25.074999999999996,20.380000000000003,-23.474999999999994
