method,family,base_method,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,uses_replay,uses_zero_old,rank,rank_schedule,target_modules,display_name,supervisor_requested_name,orth_type,lambda_delta_trace,lambda_factor_orth,kd_enabled,replay_per_class,zero_old_merge,rankext_new_rank_per_step,lora_rank_or_current_rank,lora_alpha,internal_method_name,first_step,later_steps,all_seen,old_new_gap,avg_forgetting,old_active_in_forward,mean_train_ce_loss,final_train_ce_loss,mean_val_ce_loss,final_val_ce_loss,mean_train_total_loss,final_train_total_loss,mean_val_total_loss,final_val_total_loss,mean_kd_weighted_over_ce,mean_factor_orth_weighted_over_ce,mean_delta_trace_weighted_over_ce,factor_lambda,delta_trace_lambda,delta_vs_simple_avg,rank_extension_minus_simple_avg,rank_all_seen,kd_gain,orth_gain,replay_gain,gap_to_joint_upper_bound
simple_avg,simple_avg,simple_avg,False,0.0,0.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg,simple_avg,none,0.0,0.0,False,0,False,,80,160.0,simple_avg,50.3,39.775,41.88,10.524999999999999,,,0.5244317667010084,0.048879246784746644,0.2113930486783385,0.09157092093676329,0.5244317667010084,0.048879246784746644,,,,,,0.0,0.0,0.0,,6,,,,
simple_avg_kd_T2,simple_avg,simple_avg_kd,True,2.0,1.0,False,False,0.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + KD T2,simple_avg_kd_T2,none,0.0,0.0,True,0,False,,80,160.0,simple_avg_kd_T2,71.0,26.875,35.699999999999996,44.125,,,0.8151120057216878,0.3774328897953034,0.5359102998962004,0.43259765625,1.4972756784059849,0.9377976965904236,,,1.0696147688967537,,,0.0,0.0,-6.180000000000007,,7,-6.180000000000007,,,
simple_avg_delta_orth,simple_avg,simple_avg_delta_orth,False,0.0,0.0,True,False,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + DeltaTrace,simple_avg_delta_orth,delta_trace,50.0,0.0,False,0,False,,80,160.0,simple_avg_delta_orth,29.2,63.887499999999996,56.95,-34.6875,,,0.6306698692614081,0.07054543012082577,0.20730769770840807,0.12439606475830078,0.7232546894540716,0.08201923094093799,,,,,0.27136235694827326,0.0,50.0,15.07,,4,,15.07,,
simple_avg_factor_orth,simple_avg,simple_avg_factor_orth,False,0.0,0.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + FactorOrth,simple_avg_factor_orth_lam_50,factor_orth,0.0,50.0,False,0,False,,80,160.0,simple_avg_factor_orth,1.35,72.875,58.57,-71.525,,,1.1984702699777543,0.2506693587779999,0.6558766364564499,0.2799474940299988,435.77525861819777,0.25805430998206136,,,,128.45560448579778,,50.0,0.0,16.689999999999998,,3,,16.689999999999998,,
simple_avg_factor_orth_kd_T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,1.0,False,True,50.0,False,False,80,fixed:80,"q_proj, v_proj",SimpleAvg + FactorOrth + KD T2,simple_avg_factor_orth_lam_50_kd_T2,factor_orth,0.0,50.0,True,0,False,,80,160.0,simple_avg_factor_orth_kd_T2,10.4,73.88749999999999,61.19,-63.48749999999999,,,1.493228537138123,0.6357677535057068,1.0423281791120766,0.7141964116096496,435.88478383638096,1.2966543426513673,,,0.6546595055366644,118.20263871038483,,50.0,0.0,19.309999999999995,,2,2.6199999999999974,25.490000000000002,,
rank_extension,rank_extension,rank_extension,False,0.0,0.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt,rank_extension,none,0.0,0.0,False,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension,2.9499999999999997,25.4625,20.96,-22.5125,0.9157500000000001,True,0.7386863557585633,0.07530282837748528,0.2522902602384488,0.15965299986302853,0.7386863557585633,0.07530282837748528,,,,,,0.0,0.0,-20.92,-20.92,9,,,,
rank_extension_kd_only_T2,rank_extension,rank_extension_kd_only,True,2.0,1.0,False,False,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + KD T2,rank_extension_kd_only_T2,none,0.0,0.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_kd_only_T2,59.0,53.1625,54.33,5.837499999999999,0.38749999999999996,True,1.1030904416070904,0.5408875854492188,0.703770134289066,0.62530224609375,1.8758103135921147,1.3556954782485962,,,0.9993104322370439,,,0.0,0.0,12.449999999999996,12.449999999999996,5,33.37,,,
rank_extension_orth_delta_trace_lam_50,rank_extension,rank_extension_orth_delta_trace_lam_50,False,0.0,0.0,True,False,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + DeltaTrace,rank_extension_orth_delta_trace_lam_50,delta_trace,50.0,0.0,False,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_delta_trace_lam_50,1.6,25.074999999999996,20.380000000000003,-23.474999999999994,0.918625,True,0.7644819409354271,0.0976668200969696,0.2711636604348818,0.15207962787151336,0.7715737586954301,0.09984492221027613,,,,,0.03486772452739091,0.0,50.0,-21.5,-21.5,10,,-0.5799999999999983,,
rank_extension_orth_factor_lam_50,rank_extension,rank_extension_orth_factor_lam_50,False,0.0,0.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + FactorOrth,rank_extension_orth_factor_lam_50,factor_orth,0.0,50.0,False,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_factor_lam_50,10.7,40.112500000000004,34.23,-29.412500000000005,0.7493749999999999,True,1.3355570184114702,0.11316866671442985,0.24947821439603962,0.12339340209960938,25.164047591028044,0.11549538929536939,,,,3.03001981837635,,50.0,0.0,-7.650000000000006,-7.650000000000006,8,,13.269999999999996,,
rank_extension_orth_factor_lam_50_kd_T2,rank_extension,rank_extension_orth_factor_lam_50_kd,True,2.0,1.0,False,True,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",RankExt + FactorOrth + KD T2,rank_extension_orth_factor_lam_50_kd_T2,factor_orth,0.0,50.0,True,0,False,16->16->16->16->16,16->32->48->64->80,160.0,rank_extension_orth_factor_lam_50_kd_T2,80.05,65.17500000000001,68.15,14.874999999999986,0.17024999999999998,True,1.5976482345386671,0.6711154430389404,0.8044013277679681,0.7189528799057007,6.788013660447291,1.5073330904006959,,,0.7674655881587586,0.6560621635760779,,50.0,0.0,26.270000000000003,26.270000000000003,1,33.92000000000001,13.820000000000007,,
