method,eval_set,accuracy,loss
simple_avg,first_step,0.82,0.8198472261428833
simple_avg,later_steps,0.696125,1.0964539051055908
simple_avg,all_seen,0.7209,1.0411330461502075
simple_avg_kd_T2,first_step,0.889,0.6971435546875
simple_avg_kd_T2,later_steps,0.671625,1.4777417182922363
simple_avg_kd_T2,all_seen,0.7151,1.32162344455719
simple_avg_factor_orth,first_step,0.712,0.9649016261100769
simple_avg_factor_orth,later_steps,0.76625,0.8055480718612671
simple_avg_factor_orth,all_seen,0.7554,0.8374185562133789
simple_avg_factor_orth_kd_T2,first_step,0.851,0.5764210820198059
simple_avg_factor_orth_kd_T2,later_steps,0.583625,1.5075616836547852
simple_avg_factor_orth_kd_T2,all_seen,0.6371,1.321333408355713
rank_extension,first_step,0.1195,5.875284194946289
rank_extension,later_steps,0.477625,3.354642629623413
rank_extension,all_seen,0.406,3.8587663173675537
rank_extension_kd_only_T2,first_step,0.762,0.8021631836891174
rank_extension_kd_only_T2,later_steps,0.603375,1.3012903928756714
rank_extension_kd_only_T2,all_seen,0.6351,1.2014658451080322
rank_extension_orth_factor_lam_50,first_step,0.001,11.39198112487793
rank_extension_orth_factor_lam_50,later_steps,0.436125,3.8680691719055176
rank_extension_orth_factor_lam_50,all_seen,0.3491,5.372851371765137
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.7815,0.8184167742729187
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.59075,1.3524373769760132
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6289,1.2456339597702026
