method,step_id,accuracy
rank_extension,1,11.95
rank_extension,2,35.75
rank_extension,3,19.15
rank_extension,4,39.050000000000004
rank_extension,5,97.1
rank_extension_kd_only_T2,1,76.2
rank_extension_kd_only_T2,2,38.550000000000004
rank_extension_kd_only_T2,3,44.75
rank_extension_kd_only_T2,4,65.0
rank_extension_kd_only_T2,5,93.05
rank_extension_orth_factor_lam_50,1,0.1
rank_extension_orth_factor_lam_50,2,11.3
rank_extension_orth_factor_lam_50,3,19.15
rank_extension_orth_factor_lam_50,4,46.800000000000004
rank_extension_orth_factor_lam_50,5,97.2
rank_extension_orth_factor_lam_50_kd_T2,1,78.14999999999999
rank_extension_orth_factor_lam_50_kd_T2,2,33.25
rank_extension_orth_factor_lam_50_kd_T2,3,42.6
rank_extension_orth_factor_lam_50_kd_T2,4,67.45
rank_extension_orth_factor_lam_50_kd_T2,5,93.0
simple_avg,1,82.0
simple_avg,2,68.0
simple_avg,3,68.65
simple_avg,4,61.9
simple_avg,5,79.9
simple_avg_factor_orth,1,71.2
simple_avg_factor_orth,2,78.85
simple_avg_factor_orth,3,72.35000000000001
simple_avg_factor_orth,4,70.19999999999999
simple_avg_factor_orth,5,85.1
simple_avg_factor_orth_kd_T2,1,85.1
simple_avg_factor_orth_kd_T2,2,58.699999999999996
simple_avg_factor_orth_kd_T2,3,53.400000000000006
simple_avg_factor_orth_kd_T2,4,49.1
simple_avg_factor_orth_kd_T2,5,72.25
simple_avg_kd_T2,1,88.9
simple_avg_kd_T2,2,68.5
simple_avg_kd_T2,3,67.4
simple_avg_kd_T2,4,60.35
simple_avg_kd_T2,5,72.39999999999999
