method,eval_set,accuracy,loss
simple_avg,first_step,0.82,0.8198472261428833
simple_avg,later_steps,0.696125,1.0964539051055908
simple_avg,all_seen,0.7209,1.0411330461502075
simple_avg_kd_T2,first_step,0.889,0.6971435546875
simple_avg_kd_T2,later_steps,0.671625,1.4777417182922363
simple_avg_kd_T2,all_seen,0.7151,1.32162344455719
simple_avg_factor_orth,first_step,0.712,0.9649016261100769
simple_avg_factor_orth,later_steps,0.76625,0.8055480718612671
simple_avg_factor_orth,all_seen,0.7554,0.8374185562133789
simple_avg_factor_orth_kd_T2,first_step,0.7775,0.7820913195610046
simple_avg_factor_orth_kd_T2,later_steps,0.682875,1.2398828268051147
simple_avg_factor_orth_kd_T2,all_seen,0.7018,1.1483243703842163
rank_extension,first_step,0.0115,7.366748809814453
rank_extension,later_steps,0.276125,5.42943000793457
rank_extension,all_seen,0.2232,5.816891193389893
rank_extension_kd_only_T2,first_step,0.597,1.196982741355896
rank_extension_kd_only_T2,later_steps,0.6485,1.2996636629104614
rank_extension_kd_only_T2,all_seen,0.6382,1.2791273593902588
rank_extension_orth_factor_lam_50,first_step,0.077,5.0394086837768555
rank_extension_orth_factor_lam_50,later_steps,0.4065,2.93630051612854
rank_extension_orth_factor_lam_50,all_seen,0.3406,3.356919527053833
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.637,1.0179004669189453
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.721,1.1533046960830688
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.7042,1.1262253522872925
