method,step_id,accuracy_restricted,accuracy_open,recency_bias_gap
rank_extension,1,57.699999999999996,1.15,-56.55
rank_extension,2,60.4,2.5,-57.9
rank_extension,3,71.15,2.9499999999999997,-68.2
rank_extension,4,73.6,8.05,-65.55
rank_extension,5,96.95,96.95,0.0
rank_extension_kd_only_T2,1,94.35,59.699999999999996,-34.650000000000006
rank_extension_kd_only_T2,2,94.05,52.5,-41.55
rank_extension_kd_only_T2,3,93.15,44.4,-48.75
rank_extension_kd_only_T2,4,92.10000000000001,70.6,-21.500000000000007
rank_extension_kd_only_T2,5,96.55,91.9,-4.649999999999999
rank_extension_orth_factor_lam_50,1,83.2,7.7,-75.5
rank_extension_orth_factor_lam_50,2,88.6,21.85,-66.75
rank_extension_orth_factor_lam_50,3,83.25,14.000000000000002,-69.25
rank_extension_orth_factor_lam_50,4,87.64999999999999,29.799999999999997,-57.85
rank_extension_orth_factor_lam_50,5,96.95,96.95,0.0
rank_extension_orth_factor_lam_50_kd_T2,1,94.69999999999999,63.7,-30.999999999999993
rank_extension_orth_factor_lam_50_kd_T2,2,94.69999999999999,68.5,-26.19999999999999
rank_extension_orth_factor_lam_50_kd_T2,3,93.4,60.650000000000006,-32.75
rank_extension_orth_factor_lam_50_kd_T2,4,93.35,75.3,-18.05
rank_extension_orth_factor_lam_50_kd_T2,5,97.2,83.95,-13.249999999999995
simple_avg,1,93.60000000000001,82.0,-11.60000000000001
simple_avg,2,92.0,68.0,-24.0
simple_avg,3,89.3,68.65,-20.650000000000002
simple_avg,4,88.2,61.9,-26.3
simple_avg,5,94.95,79.9,-15.049999999999997
simple_avg_factor_orth,1,92.85,71.2,-21.650000000000002
simple_avg_factor_orth,2,94.39999999999999,78.85,-15.549999999999997
simple_avg_factor_orth,3,92.9,72.35000000000001,-20.55
simple_avg_factor_orth,4,91.55,70.19999999999999,-21.35
simple_avg_factor_orth,5,96.0,85.1,-10.899999999999999
simple_avg_factor_orth_kd_T2,1,93.4,77.75,-15.65000000000001
simple_avg_factor_orth_kd_T2,2,93.15,70.7,-22.450000000000003
simple_avg_factor_orth_kd_T2,3,92.2,66.2,-26.0
simple_avg_factor_orth_kd_T2,4,90.0,57.3,-32.70000000000001
simple_avg_factor_orth_kd_T2,5,95.75,78.95,-16.800000000000004
simple_avg_kd_T2,1,95.25,88.9,-6.35
simple_avg_kd_T2,2,92.9,68.5,-24.4
simple_avg_kd_T2,3,90.9,67.4,-23.5
simple_avg_kd_T2,4,86.35000000000001,60.35,-26.0
simple_avg_kd_T2,5,94.6,72.39999999999999,-22.199999999999996
