method,step,parameter,group,shape,numel
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.0.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.1.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.2.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.3.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.4.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.5.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.6.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.6.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.6.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.6.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.7.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.7.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.7.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.7.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.8.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.8.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.8.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.8.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.9.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.9.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.9.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.9.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.10.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.10.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.10.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.10.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.11.self_attn.v_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.11.self_attn.v_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.11.self_attn.q_proj.A_new,lora_new,"[32, 768]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,vision_model.vision_model.encoder.layers.11.self_attn.q_proj.B_new,lora_new,"[768, 32]",24576
rank_extension_orth_factor_lam_50_kd_T2,5,classifier.weight,classifier,"[100, 768]",76800
rank_extension_orth_factor_lam_50_kd_T2,5,classifier.bias,classifier,[100],100
