method_name,display_name,step_id,final_epoch_rel_train_improvement_pct,train_convergence_verdict,final_epoch_rel_val_improvement_pct,val_convergence_verdict
simple_avg,SimpleAvg,1,47.219,still_improving,1.205,converged
simple_avg,SimpleAvg,2,52.925,still_improving,5.697,still_improving
simple_avg,SimpleAvg,3,42.343,still_improving,-0.868,converged
simple_avg,SimpleAvg,4,44.935,still_improving,19.057,still_improving
simple_avg,SimpleAvg,5,52.424,still_improving,14.297,still_improving
simple_avg_kd_T2,SimpleAvg+KD,1,47.267,still_improving,6.178,still_improving
simple_avg_kd_T2,SimpleAvg+KD,2,8.767,still_improving,-1.336,diverging
simple_avg_kd_T2,SimpleAvg+KD,3,14.634,still_improving,0.224,converged
simple_avg_kd_T2,SimpleAvg+KD,4,16.961,still_improving,5.009,still_improving
simple_avg_kd_T2,SimpleAvg+KD,5,13.039,still_improving,2.586,converged
simple_avg_delta_orth,SimpleAvg+DeltaTrace,1,47.267,still_improving,6.178,still_improving
simple_avg_delta_orth,SimpleAvg+DeltaTrace,2,51.013,still_improving,0.304,converged
simple_avg_delta_orth,SimpleAvg+DeltaTrace,3,37.355,still_improving,8.569,still_improving
simple_avg_delta_orth,SimpleAvg+DeltaTrace,4,41.147,still_improving,13.798,still_improving
simple_avg_delta_orth,SimpleAvg+DeltaTrace,5,44.657,still_improving,3.995,still_improving
simple_avg_factor_orth,SimpleAvg+FactorOrth,1,47.267,still_improving,6.178,still_improving
simple_avg_factor_orth,SimpleAvg+FactorOrth,2,57.292,still_improving,23.137,still_improving
simple_avg_factor_orth,SimpleAvg+FactorOrth,3,45.25,still_improving,23.164,still_improving
simple_avg_factor_orth,SimpleAvg+FactorOrth,4,46.318,still_improving,23.73,still_improving
simple_avg_factor_orth,SimpleAvg+FactorOrth,5,57.158,still_improving,29.829,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,1,47.267,still_improving,6.178,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,2,29.058,still_improving,6.819,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,3,30.969,still_improving,13.115,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,4,33.018,still_improving,13.613,still_improving
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,5,34.752,still_improving,12.751,still_improving
rank_extension,RankExt,1,37.711,still_improving,11.503,still_improving
rank_extension,RankExt,2,44.243,still_improving,8.687,still_improving
rank_extension,RankExt,3,35.128,still_improving,10.558,still_improving
rank_extension,RankExt,4,37.723,still_improving,10.916,still_improving
rank_extension,RankExt,5,43.959,still_improving,14.629,still_improving
rank_extension_kd_only_T2,RankExt+KD,1,37.711,still_improving,11.503,still_improving
rank_extension_kd_only_T2,RankExt+KD,2,7.536,still_improving,-0.892,converged
rank_extension_kd_only_T2,RankExt+KD,3,8.705,still_improving,0.428,converged
rank_extension_kd_only_T2,RankExt+KD,4,12.365,still_improving,1.242,converged
rank_extension_kd_only_T2,RankExt+KD,5,9.25,still_improving,-0.325,converged
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,1,37.711,still_improving,11.503,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,2,43.152,still_improving,10.536,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,3,33.753,still_improving,10.223,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,4,36.38,still_improving,13.697,still_improving
rank_extension_orth_delta_trace_lam_50,RankExt+DeltaTrace,5,42.975,still_improving,17.057,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,1,37.711,still_improving,11.503,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,2,41.575,still_improving,14.188,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,3,31.315,still_improving,14.39,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,4,34.661,still_improving,7.614,still_improving
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,5,34.134,still_improving,2.333,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,1,37.711,still_improving,11.503,still_improving
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,2,8.31,still_improving,1.041,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,3,10.149,still_improving,1.485,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,4,13.598,still_improving,2.974,converged
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,5,11.273,still_improving,2.474,converged
