method_name,n_overfit_events,max_severity,mean_gap,final_gap
rank_extension_kd_only_T2,2,0.008963378906249986,-0.3993203073180242,0.08441466064453118
simple_avg,1,0.001431071281433105,-0.3130387180226698,0.04269167415201659
simple_avg_kd_T2,1,0.010016357183456392,-0.2792017058254875,0.055164766454696645
rank_extension,0,0.0,-0.48639609552011476,0.0843501714855433
rank_extension_orth_delta_trace_lam_50,0,0.0,-0.4933182805005452,0.0544128077745437
rank_extension_orth_factor_lam_50,0,0.0,-1.0860788040154303,0.010224735385179512
rank_extension_orth_factor_lam_50_kd_T2,0,0.0,-0.7932469067706989,0.04783743686676023
simple_avg_delta_orth,0,0.0,-0.4233621715530001,0.053850634637475
simple_avg_factor_orth,0,0.0,-0.5425936335213045,0.029278135251998905
simple_avg_factor_orth_kd_T2,0,0.0,-0.4509003580260464,0.07842865810394284
