method_name,step_id,extra_epochs_needed
simple_avg,1,4
simple_avg,2,2
simple_avg,3,2
simple_avg,4,3
simple_avg,5,1
simple_avg_kd_T2,1,4
simple_avg_kd_T2,2,0
simple_avg_kd_T2,3,0
simple_avg_kd_T2,4,0
simple_avg_kd_T2,5,0
simple_avg_factor_orth,1,4
simple_avg_factor_orth,2,3
simple_avg_factor_orth,3,2
simple_avg_factor_orth,4,2
simple_avg_factor_orth,5,6
simple_avg_factor_orth_kd_T2,1,4
simple_avg_factor_orth_kd_T2,2,0
simple_avg_factor_orth_kd_T2,3,0
simple_avg_factor_orth_kd_T2,4,0
simple_avg_factor_orth_kd_T2,5,0
rank_extension,1,9
rank_extension,2,6
rank_extension,3,2
rank_extension,4,2
rank_extension,5,5
rank_extension_kd_only_T2,1,9
rank_extension_kd_only_T2,2,0
rank_extension_kd_only_T2,3,0
rank_extension_kd_only_T2,4,0
rank_extension_kd_only_T2,5,0
rank_extension_orth_factor_lam_50,1,9
rank_extension_orth_factor_lam_50,2,3
rank_extension_orth_factor_lam_50,3,3
rank_extension_orth_factor_lam_50,4,3
rank_extension_orth_factor_lam_50,5,3
rank_extension_orth_factor_lam_50_kd_T2,1,9
rank_extension_orth_factor_lam_50_kd_T2,2,0
rank_extension_orth_factor_lam_50_kd_T2,3,0
rank_extension_orth_factor_lam_50_kd_T2,4,0
rank_extension_orth_factor_lam_50_kd_T2,5,0
