method,run,step_id,final_epoch,train_ce,val_ce
rank_extension,NEW,1,9,0.0105097584562987,0.2073358721770346
rank_extension,NEW,2,9,0.0122874722498163,0.2567102763690054
rank_extension,NEW,3,9,0.0161610660453647,0.2514103255271911
rank_extension,NEW,4,9,0.0151832778133961,0.2630998311042858
rank_extension,NEW,5,9,0.006986199612219,0.1274172832966142
rank_extension,PREV,1,6,0.0398167797900736,0.145743790872395
rank_extension,PREV,2,6,0.0328288983352482,0.1849137144051492
rank_extension,PREV,3,6,0.0763462714672088,0.1558743929862976
rank_extension,PREV,4,6,0.0834769785940647,0.2526942900419235
rank_extension,PREV,5,6,0.0266517799952998,0.1237784280925989
rank_extension_kd_only_T2,NEW,1,9,0.0105097584562987,0.2073358721770346
rank_extension_kd_only_T2,NEW,2,9,0.7463209696769715,1.00711865234375
rank_extension_kd_only_T2,NEW,3,9,0.6158365335941315,0.7941008281707763
rank_extension_kd_only_T2,NEW,4,9,0.5480941267967224,0.7864550776481628
rank_extension_kd_only_T2,NEW,5,9,0.4773735861778259,0.6368981928825378
rank_extension_kd_only_T2,PREV,1,6,0.0398167797900736,0.145743790872395
rank_extension_kd_only_T2,PREV,2,6,0.8375402740478516,1.086393311023712
rank_extension_kd_only_T2,PREV,3,6,0.672949562549591,0.780129638671875
rank_extension_kd_only_T2,PREV,4,6,0.6216279826164246,0.7814296875
rank_extension_kd_only_T2,PREV,5,6,0.5192917557239533,0.6568740229606629
rank_extension_orth_factor_lam_50,NEW,1,9,0.0105097584562987,0.2073358721770346
rank_extension_orth_factor_lam_50,NEW,2,9,0.0107462414066016,0.1938237067461014
rank_extension_orth_factor_lam_50,NEW,3,9,0.0193651261350139,0.1589280455112457
rank_extension_orth_factor_lam_50,NEW,4,9,0.0158875126910119,0.2247023234367443
rank_extension_orth_factor_lam_50,NEW,5,9,0.0069383914256097,0.109922645568844
rank_extension_orth_factor_lam_50,PREV,1,6,0.0398167797900736,0.145743790872395
rank_extension_orth_factor_lam_50,PREV,2,6,0.0372099339619278,0.1648817276880145
rank_extension_orth_factor_lam_50,PREV,3,6,0.0978799618721008,0.1513513584136963
rank_extension_orth_factor_lam_50,PREV,4,6,0.1131305601805448,0.1915034687444567
rank_extension_orth_factor_lam_50,PREV,5,6,0.0526163266673684,0.1010473408550024
rank_extension_orth_factor_lam_50_kd_T2,NEW,1,9,0.0105097584562987,0.2073358721770346
rank_extension_orth_factor_lam_50_kd_T2,NEW,2,9,0.7548977019309998,1.042854676246643
rank_extension_orth_factor_lam_50_kd_T2,NEW,3,9,0.6369359954833984,0.8040452890396118
rank_extension_orth_factor_lam_50_kd_T2,NEW,4,9,0.5652542875766754,0.7596835947036743
rank_extension_orth_factor_lam_50_kd_T2,NEW,5,9,0.4876305334091186,0.647516845703125
rank_extension_orth_factor_lam_50_kd_T2,PREV,1,6,0.0398167797900736,0.145743790872395
rank_extension_orth_factor_lam_50_kd_T2,PREV,2,6,0.8631735782623291,1.109124999523163
rank_extension_orth_factor_lam_50_kd_T2,PREV,3,6,0.7610885772705078,0.889607177734375
rank_extension_orth_factor_lam_50_kd_T2,PREV,4,6,0.7461718165397644,0.8479650874137878
rank_extension_orth_factor_lam_50_kd_T2,PREV,5,6,0.6237943827629089,0.6865170893669128
