method,display_name,family,uses_orth,uses_kd,eval_set,accuracy_BASELINE_pct,accuracy_NEW_pct,delta_accuracy_pp,loss_BASELINE,loss_NEW,delta_loss
rank_extension,RankExt,rank_extension,False,False,all_seen,23.56,40.6,17.040000000000003,5.606800079345703,3.8587663173675537,-1.7480337619781494
rank_extension,RankExt,rank_extension,False,False,first_step,3.75,11.95,8.2,6.9819016456604,5.875284194946289,-1.1066174507141113
rank_extension,RankExt,rank_extension,False,False,later_steps,28.512500000000003,47.7625,19.25,5.263026237487793,3.354642629623413,-1.9083836078643799
rank_extension_kd_only_T2,RankExt+KD,rank_extension,False,True,all_seen,59.29,63.51,4.2200000000000015,1.3242961168289185,1.2014658451080322,-0.12283027172088623
rank_extension_kd_only_T2,RankExt+KD,rank_extension,False,True,first_step,69.39999999999999,76.2,6.800000000000006,0.9524200558662416,0.8021631836891174,-0.15025687217712413
rank_extension_kd_only_T2,RankExt+KD,rank_extension,False,True,later_steps,56.7625,60.3375,3.574999999999995,1.4172648191452026,1.3012903928756714,-0.11597442626953125
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,rank_extension,True,False,all_seen,35.099999999999994,34.910000000000004,-0.18999999999999573,3.5061726570129395,5.372851371765137,1.8666787147521973
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,rank_extension,True,False,first_step,8.35,0.1,-8.25,5.753640651702881,11.39198112487793,5.638340473175049
rank_extension_orth_factor_lam_50,RankExt+FactorOrth,rank_extension,True,False,later_steps,41.7875,43.6125,1.8249999999999988,2.9443066120147705,3.8680691719055176,0.9237625598907471
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,rank_extension,True,True,all_seen,67.97999999999999,62.89,-5.0899999999999945,1.1092771291732788,1.2456339597702026,0.13635683059692383
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,rank_extension,True,True,first_step,80.30000000000001,78.14999999999999,-2.1500000000000075,0.7046930193901062,0.8184167742729187,0.1137237548828125
rank_extension_orth_factor_lam_50_kd_T2,RankExt+FactorOrth+KD,rank_extension,True,True,later_steps,64.9,59.075,-5.825000000000003,1.2104240655899048,1.3524373769760132,0.1420133113861084
simple_avg,SimpleAvg,simple_avg,False,False,all_seen,48.52,72.09,23.569999999999997,2.973576784133911,1.0411330461502075,-1.9324437379837036
simple_avg,SimpleAvg,simple_avg,False,False,first_step,53.05,82.0,28.95,2.927708148956299,0.8198472261428833,-2.1078609228134155
simple_avg,SimpleAvg,simple_avg,False,False,later_steps,47.387499999999996,69.6125,22.225,2.9850454330444336,1.0964539051055908,-1.8885915279388428
simple_avg_kd_T2,SimpleAvg+KD,simple_avg,False,True,all_seen,39.15,71.50999999999999,32.35999999999999,3.176632642745972,1.32162344455719,-1.8550091981887822
simple_avg_kd_T2,SimpleAvg+KD,simple_avg,False,True,first_step,80.10000000000001,88.9,8.799999999999997,2.2759389877319336,0.6971435546875,-1.5787954330444336
simple_avg_kd_T2,SimpleAvg+KD,simple_avg,False,True,later_steps,28.9125,67.16250000000001,38.25,3.401806116104126,1.4777417182922363,-1.9240643978118896
simple_avg_factor_orth,SimpleAvg+FactorOrth,simple_avg,True,False,all_seen,61.629999999999995,75.53999999999999,13.91,1.5776817798614502,0.8374185562133789,-0.7402632236480713
simple_avg_factor_orth,SimpleAvg+FactorOrth,simple_avg,True,False,first_step,0.8,71.2,70.39999999999999,4.423385620117188,0.9649016261100768,-3.4584839940071115
simple_avg_factor_orth,SimpleAvg+FactorOrth,simple_avg,True,False,later_steps,76.8375,76.625,-0.21250000000000435,0.866256594657898,0.8055480718612671,-0.06070852279663086
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,simple_avg,True,True,all_seen,63.800000000000004,63.71,-0.09000000000000119,1.6330939531326294,1.321333408355713,-0.3117605447769165
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,simple_avg,True,True,first_step,13.200000000000001,85.1,71.89999999999999,3.3253774642944336,0.5764210820198059,-2.7489563822746277
simple_avg_factor_orth_kd_T2,SimpleAvg+FactorOrth+KD,simple_avg,True,True,later_steps,76.44999999999999,58.3625,-18.087500000000002,1.2100226879119873,1.5075616836547852,0.29753899574279785
