run,orth_method,plain_method,cl_step,orth_train_ce_at_step_start,plain_train_ce_at_step_start,ce_ratio_orth_over_plain,factor_orth_loss_raw_at_step_start,factor_orth_loss_weighted_at_step_start,factor_orth_weighted_over_ce
BASELINE,rank_extension_orth_factor_lam_50,rank_extension,2,4.718490086605623,2.704888843902297,1.7444303107843568,0.1699845196686665,8.499226001275737,1.8012596922482655
BASELINE,rank_extension_orth_factor_lam_50,rank_extension,3,5.532478121171802,2.82289854823665,1.959857227114207,0.3527340345464207,17.636701769541503,3.187848443909612
BASELINE,rank_extension_orth_factor_lam_50,rank_extension,4,5.9304361494834215,3.036402358946356,1.9531127460793132,7.22672412189889,361.33620616913134,60.92911163044998
BASELINE,rank_extension_orth_factor_lam_50,rank_extension,5,6.742712991351777,2.720812367254017,2.478198450030153,0.6170646046233438,30.853230044111584,4.57578871941962
BASELINE,rank_extension_orth_factor_lam_50_kd_T2,rank_extension_kd_only_T2,2,5.214263147886373,3.432135572702717,1.5192474298969132,0.1946142682311797,9.730713306433856,1.8661722721796745
BASELINE,rank_extension_orth_factor_lam_50_kd_T2,rank_extension_kd_only_T2,3,4.869064584691474,2.9555054034812165,1.6474558222618452,0.3288317277965421,16.441586299828344,3.376744344595741
BASELINE,rank_extension_orth_factor_lam_50_kd_T2,rank_extension_kd_only_T2,4,5.004885484661096,2.9669203338763523,1.6868958116317514,0.4810548965302265,24.05274470888822,4.805853157400851
BASELINE,rank_extension_orth_factor_lam_50_kd_T2,rank_extension_kd_only_T2,5,4.725622471635353,2.716983755608432,1.739289924674987,0.6513531519823712,32.56765746504507,6.891718003400868
BASELINE,simple_avg_factor_orth,simple_avg,2,3.548091236776299,1.6772403029295115,2.115434043994239,7.321248849521584,366.0624427639326,103.17165437282475
BASELINE,simple_avg_factor_orth,simple_avg,3,3.4056402413622644,1.7019919785267008,2.0009731446033587,27.33373905213492,1366.6869493974602,401.3010337377215
BASELINE,simple_avg_factor_orth,simple_avg,4,3.460142789222605,1.801710507270016,1.9204765556179584,53.126044899274014,2656.3022450448643,767.6857305769337
BASELINE,simple_avg_factor_orth,simple_avg,5,3.491990503234676,1.5905932505262952,2.1954013083352684,59.93639557958625,2996.8197759700097,858.1981460699898
BASELINE,simple_avg_factor_orth_kd_T2,simple_avg_kd_T2,2,3.881140404559196,2.3297936361276967,1.6658730388713576,6.571953559431527,328.5976773888702,84.66523834151033
BASELINE,simple_avg_factor_orth_kd_T2,simple_avg_kd_T2,3,3.5938095347971064,1.943556953081328,1.8490888723890788,27.300345509122515,1365.0172753216982,379.8246017505661
BASELINE,simple_avg_factor_orth_kd_T2,simple_avg_kd_T2,4,3.655490350411098,2.006611604152061,1.821722919795337,53.23924442359937,2661.9622158918364,728.2093401210788
BASELINE,simple_avg_factor_orth_kd_T2,simple_avg_kd_T2,5,3.6705788412968183,1.7796442505283168,2.062535161286952,59.92947419692569,2996.473708532056,816.3490931782845
NEW,rank_extension_orth_factor_lam_50,rank_extension,2,2.905774266503251,1.980480354078077,1.4672068119837032,0.1603796484255393,8.018982432300984,2.759671501238416
NEW,rank_extension_orth_factor_lam_50,rank_extension,3,5.235818624173317,2.5950806271376274,2.0175938155526296,0.312263198508218,15.613159935195885,2.981990220805452
NEW,rank_extension_orth_factor_lam_50,rank_extension,4,7.5178714007212415,2.8705401873334546,2.6189744473512686,0.4662401836129963,23.31200915340901,3.100878947087673
NEW,rank_extension_orth_factor_lam_50,rank_extension,5,8.041729384380105,2.386602630070525,3.3695300939739887,0.6605854226322387,33.02927108427263,4.107234837872959
NEW,rank_extension_orth_factor_lam_50_kd_T2,rank_extension_kd_only_T2,2,3.5471000692848293,2.668157035317241,1.329419529035735,0.1616168339657117,8.080841727969396,2.2781544275965877
NEW,rank_extension_orth_factor_lam_50_kd_T2,rank_extension_kd_only_T2,3,3.2345654736173914,2.27339404450696,1.4227913904467382,0.326335179381135,16.316758939462872,5.044497961951887
