run,display_name,apply_calibration,head_lr_multiplier,lambda_factor_orth
NEW,SimpleAvg,True,10.0,
NEW,RankExt,False,10.0,
NEW,SimpleAvg + FactorOrth,True,10.0,
NEW,RankExt + FactorOrth,False,10.0,
NEW,SimpleAvg + KD T2,True,10.0,
NEW,RankExt + KD T2,False,10.0,
NEW,SimpleAvg + FactorOrth + KD T2,True,10.0,
NEW,RankExt + FactorOrth + KD T2,False,10.0,
BASELINE,SimpleAvg,,,
BASELINE,RankExt,,,
BASELINE,SimpleAvg + FactorOrth,,,
BASELINE,RankExt + FactorOrth,,,
BASELINE,SimpleAvg + KD T2,,,
BASELINE,RankExt + KD T2,,,
BASELINE,SimpleAvg + FactorOrth + KD T2,,,
BASELINE,RankExt + FactorOrth + KD T2,,,
