method,step_id,uses_kd,group,pre_cal_row_norm,val_ce_loss_final_epoch,group_mean_val_ce_loss,relative_difficulty,boost_factor,fix1_plain_group_mean_target_norm,fix2_confidence_weighted_target_norm,fix2_equalization_ratio_vs_pre_cal
rank_extension,1,False,1+2+3+4+5,0.679254,0.226647,0.204802,1.0,1.0,0.726062,0.726062,1.068911
rank_extension,2,False,1+2+3+4+5,0.701964,0.224213,0.204802,1.0,1.0,0.726062,0.726062,1.034329
rank_extension,3,False,1+2+3+4+5,0.725353,0.175666,0.204802,1.0,1.0,0.726062,0.726062,1.000978
rank_extension,4,False,1+2+3+4+5,0.743481,0.28239,0.204802,1.0,1.0,0.726062,0.726062,0.976571
rank_extension,5,False,1+2+3+4+5,0.780258,0.115094,0.204802,1.0,1.0,0.726062,0.726062,0.930541
rank_extension_kd_only_T2,1,True,1,0.677732,0.226647,0.226647,1.0,1.0,0.677732,0.677732,1.0
rank_extension_kd_only_T2,2,True,2+3+4+5,0.687462,0.927253,0.758077,1.223165,1.105968,0.672025,0.743238,1.081134
rank_extension_kd_only_T2,3,True,2+3+4+5,0.670732,0.7384,0.758077,0.974044,0.986937,0.672025,0.663246,0.988839
rank_extension_kd_only_T2,4,True,2+3+4+5,0.673194,0.754555,0.758077,0.995355,0.997675,0.672025,0.670462,0.995942
rank_extension_kd_only_T2,5,True,2+3+4+5,0.656712,0.612099,0.758077,0.807436,0.898575,0.672025,0.603865,0.919527
rank_extension_orth_factor_lam_50,1,False,1+2+3+4+5,0.674535,0.226647,0.179228,1.0,1.0,0.799098,0.799098,1.184664
rank_extension_orth_factor_lam_50,2,False,1+2+3+4+5,0.777526,0.176546,0.179228,1.0,1.0,0.799098,0.799098,1.027744
rank_extension_orth_factor_lam_50,3,False,1+2+3+4+5,0.812597,0.145033,0.179228,1.0,1.0,0.799098,0.799098,0.983388
rank_extension_orth_factor_lam_50,4,False,1+2+3+4+5,0.861915,0.228772,0.179228,1.0,1.0,0.799098,0.799098,0.927119
rank_extension_orth_factor_lam_50,5,False,1+2+3+4+5,0.868916,0.119141,0.179228,1.0,1.0,0.799098,0.799098,0.919649
rank_extension_orth_factor_lam_50_kd_T2,1,True,1,0.67593,0.226647,0.226647,1.0,1.0,0.67593,0.67593,1.0
rank_extension_orth_factor_lam_50_kd_T2,2,True,2+3+4+5,0.724887,0.92788,0.766174,1.211056,1.10048,0.731381,0.804869,1.110338
rank_extension_orth_factor_lam_50_kd_T2,3,True,2+3+4+5,0.715677,0.760915,0.766174,0.993135,0.996562,0.731381,0.728866,1.018429
rank_extension_orth_factor_lam_50_kd_T2,4,True,2+3+4+5,0.745979,0.751838,0.766174,0.981289,0.9906,0.731381,0.724506,0.971215
rank_extension_orth_factor_lam_50_kd_T2,5,True,2+3+4+5,0.73898,0.624064,0.766174,0.81452,0.902508,0.731381,0.660076,0.893227
