method,display_method_name,first_step_accuracy,later_steps_accuracy,all_seen_accuracy,average_accuracy,final_accuracy,per_step_accuracy,forgetting_metric,backward_transfer,forward_transfer,run
simple_avg,SimpleAvg,54.05,46.5125,48.02,49.5275,48.02,"[54.05, 51.4, 46.5, 47.15, 41.05]",,-0.457125,,OLD_20260715
simple_avg_kd_T2,SimpleAvg + KD T2,74.5,33.675,41.84,50.005,41.84,"[74.5, 59.6, 29.9, 25.7, 19.5]",,-0.39575,,OLD_20260715
simple_avg_factor_orth,SimpleAvg + FactorOrth,0.8,77.9625,62.53,47.0975,62.53,"[0.8, 78.85, 77.1, 72.0, 83.9]",,-0.3745,,OLD_20260715
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,11.8,77.25,64.16,51.06999999999999,64.16,"[11.8, 81.0, 73.95, 73.05, 81.0]",,-0.26225,,OLD_20260715
rank_extension,RankExt,0.8,27.075,21.82,16.565,21.82,"[0.8, 1.85, 2.2, 7.3, 96.95]",0.915625,-0.91575,-0.05,OLD_20260715
rank_extension_kd_only_T2,RankExt + KD T2,59.55,58.675,58.85,59.025,58.85,"[59.55, 36.45, 39.85, 64.2, 94.2]",0.339125,-0.3392499999999999,-0.05,OLD_20260715
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2.25,41.975,34.03,26.085,34.03,"[2.25, 12.3, 19.8, 38.25, 97.55]",0.76675,-0.766875,-0.05,OLD_20260715
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,71.7,66.64999999999999,67.66,68.67,67.66,"[71.7, 50.45, 53.0, 70.9, 92.25]",0.207625,-0.207625,-0.05,OLD_20260715
simple_avg,SimpleAvg,82.0,69.6125,72.09,74.56750000000001,72.09,"[82.0, 68.0, 68.65, 61.9, 79.9]",,-0.244625,,CALIBFIX_20260716
simple_avg_kd_T2,SimpleAvg + KD T2,88.9,67.16250000000001,71.50999999999999,75.8575,71.50999999999999,"[88.9, 68.5, 67.4, 60.35, 72.4]",,-0.2006249999999999,,CALIBFIX_20260716
simple_avg_factor_orth,SimpleAvg + FactorOrth,71.2,76.625,75.53999999999999,74.455,75.53999999999999,"[71.2, 78.85, 72.35, 70.2, 85.1]",,-0.218625,,CALIBFIX_20260716
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,85.1,58.3625,63.71,69.05749999999999,63.71,"[85.1, 58.7, 53.4, 49.1, 72.25]",,-0.282875,,CALIBFIX_20260716
rank_extension,RankExt,11.95,47.7625,40.6,33.4375,40.6,"[11.95, 35.75, 19.15, 39.05, 97.1]",0.6793750000000001,-0.6795,-0.05,CALIBFIX_20260716
rank_extension_kd_only_T2,RankExt + KD T2,76.2,60.3375,63.51,66.68249999999999,63.51,"[76.2, 38.55, 44.75, 65.0, 93.05]",0.2438749999999999,-0.2438749999999999,-0.05,CALIBFIX_20260716
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,0.1,43.6125,34.910000000000004,26.2075,34.910000000000004,"[0.1, 11.3, 19.15, 46.8, 97.2]",0.752375,-0.7525,-0.05,CALIBFIX_20260716
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,78.14999999999999,59.075,62.89,66.705,62.89,"[78.15, 33.25, 42.6, 67.45, 93.0]",0.254125,-0.254,-0.05,CALIBFIX_20260716
simple_avg,SimpleAvg,82.0,69.6125,72.09,74.56750000000001,72.09,"[82.0, 68.0, 68.65, 61.9, 79.9]",,-0.244625,,NEW_REVERT_20260716
simple_avg_kd_T2,SimpleAvg + KD T2,88.9,67.16250000000001,71.50999999999999,75.8575,71.50999999999999,"[88.9, 68.5, 67.4, 60.35, 72.4]",,-0.2006249999999999,,NEW_REVERT_20260716
simple_avg_factor_orth,SimpleAvg + FactorOrth,71.2,76.625,75.53999999999999,74.455,75.53999999999999,"[71.2, 78.85, 72.35, 70.2, 85.1]",,-0.218625,,NEW_REVERT_20260716
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,80.45,66.3,69.13,71.96,69.13,"[80.45, 68.7, 64.5, 55.2, 76.8]",,-0.26775,,NEW_REVERT_20260716
rank_extension,RankExt,0.8,27.075,21.82,16.565,21.82,"[0.8, 1.85, 2.2, 7.3, 96.95]",0.915625,-0.91575,-0.05,NEW_REVERT_20260716
rank_extension_kd_only_T2,RankExt + KD T2,59.55,58.675,58.85,59.025,58.85,"[59.55, 36.45, 39.85, 64.2, 94.2]",0.339125,-0.3392499999999999,-0.05,NEW_REVERT_20260716
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,2.25,41.975,34.03,26.085,34.03,"[2.25, 12.3, 19.8, 38.25, 97.55]",0.76675,-0.766875,-0.05,NEW_REVERT_20260716
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,71.7,66.64999999999999,67.66,68.67,67.66,"[71.7, 50.45, 53.0, 70.9, 92.25]",0.207625,-0.207625,-0.05,NEW_REVERT_20260716
