method,task_step,mean_cos,mean_norm_ratio
simple_avg,1,1.0,1.0
simple_avg,2,0.0131,0.8396
simple_avg,3,0.0112,0.8566
simple_avg,4,0.0113,0.8584
simple_avg,5,0.0123,1.0805
simple_avg_factor_orth,1,1.0,1.0
simple_avg_factor_orth,2,0.0,0.7242
simple_avg_factor_orth,3,0.0018,0.6794
simple_avg_factor_orth,4,0.0038,0.7332
simple_avg_factor_orth,5,0.0017,0.646
simple_avg_factor_orth_kd_T2,1,1.0,1.0
simple_avg_factor_orth_kd_T2,2,-0.0,0.8554
simple_avg_factor_orth_kd_T2,3,0.005,0.7777
simple_avg_factor_orth_kd_T2,4,0.0092,0.9507
simple_avg_factor_orth_kd_T2,5,0.0036,0.7512
simple_avg_kd_T2,1,1.0,1.0
simple_avg_kd_T2,2,0.0279,1.3652
simple_avg_kd_T2,3,0.0197,1.1869
simple_avg_kd_T2,4,0.0178,1.3917
simple_avg_kd_T2,5,0.0211,1.2873
