run,method,first_step_accuracy,later_steps_accuracy,all_seen_accuracy,forgetting_metric,backward_transfer
OLD,simple_avg,54.05,46.5125,48.02,,-0.457125
OLD,simple_avg_kd_T2,74.5,33.675,41.84,,-0.39575
OLD,simple_avg_factor_orth,0.8,77.9625,62.53,,-0.3745
OLD,simple_avg_factor_orth_kd_T2,11.8,77.25,64.16,,-0.26225
OLD,rank_extension,0.8,27.075,21.82,0.915625,-0.91575
OLD,rank_extension_kd_only_T2,59.55,58.675,58.85,0.339125,-0.3392499999999999
OLD,rank_extension_orth_factor_lam_50,2.25,41.975,34.03,0.76675,-0.766875
OLD,rank_extension_orth_factor_lam_50_kd_T2,71.7,66.64999999999999,67.66,0.207625,-0.207625
CALIBFIX,simple_avg,82.0,69.6125,72.09,,-0.244625
CALIBFIX,simple_avg_kd_T2,88.9,67.16250000000001,71.50999999999999,,-0.2006249999999999
CALIBFIX,simple_avg_factor_orth,71.2,76.625,75.53999999999999,,-0.218625
CALIBFIX,simple_avg_factor_orth_kd_T2,85.1,58.3625,63.71,,-0.282875
CALIBFIX,rank_extension,11.95,47.7625,40.6,0.6793750000000001,-0.6795
CALIBFIX,rank_extension_kd_only_T2,76.2,60.3375,63.51,0.2438749999999999,-0.2438749999999999
CALIBFIX,rank_extension_orth_factor_lam_50,0.1,43.6125,34.910000000000004,0.752375,-0.7525
CALIBFIX,rank_extension_orth_factor_lam_50_kd_T2,78.14999999999999,59.075,62.89,0.254125,-0.254
REVERT,simple_avg,82.0,69.6125,72.09,,-0.244625
REVERT,simple_avg_kd_T2,88.9,67.16250000000001,71.50999999999999,,-0.2006249999999999
REVERT,simple_avg_factor_orth,71.2,76.625,75.53999999999999,,-0.218625
REVERT,simple_avg_factor_orth_kd_T2,80.45,66.3,69.13,,-0.26775
REVERT,rank_extension,0.8,27.075,21.82,0.915625,-0.91575
REVERT,rank_extension_kd_only_T2,59.55,58.675,58.85,0.339125,-0.3392499999999999
REVERT,rank_extension_orth_factor_lam_50,2.25,41.975,34.03,0.76675,-0.766875
REVERT,rank_extension_orth_factor_lam_50_kd_T2,71.7,66.64999999999999,67.66,0.207625,-0.207625
STRICT,simple_avg,82.0,69.6125,72.09,,-0.244625
STRICT,simple_avg_kd_T2,88.9,67.16250000000001,71.50999999999999,,-0.2006249999999999
STRICT,simple_avg_factor_orth,71.2,76.625,75.53999999999999,,-0.218625
STRICT,simple_avg_factor_orth_kd_T2,77.75,68.2875,70.17999999999999,,-0.264625
STRICT,rank_extension,0.8,27.075,21.82,0.915625,-0.91575
STRICT,rank_extension_kd_only_T2,59.55,58.675,58.85,0.339125,-0.3392499999999999
STRICT,rank_extension_orth_factor_lam_50,2.9000000000000004,38.2875,31.21,0.801625,-0.8018749999999999
STRICT,rank_extension_orth_factor_lam_50_kd_T2,68.95,64.4375,65.34,0.2445,-0.2445
