Experiment summary
==================

method=B0 | adapter_name=B0 | step=1 | eval_stage=step1 | eval_set=current_step | accuracy=0.6060 | loss=1.3589
method=LoRA Normal | adapter_name=L1 | step=2 | eval_stage=step | eval_set=current_step | accuracy=0.5500 | loss=1.4902
method=LoRA Normal | adapter_name=L1 | step=2 | eval_stage=step | eval_set=first_step | accuracy=0.0005 | loss=8.4655
method=LoRA Normal | adapter_name=L1 | step=2 | eval_stage=step | eval_set=later_steps | accuracy=0.5500 | loss=1.4902
method=LoRA Normal | adapter_name=L1 | step=2 | eval_stage=step | eval_set=all_seen | accuracy=0.2752 | loss=4.9779
method=LoRA Normal | adapter_name=L2 | step=3 | eval_stage=step | eval_set=current_step | accuracy=0.5660 | loss=1.3639
method=LoRA Normal | adapter_name=L2 | step=3 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.3279
method=LoRA Normal | adapter_name=L2 | step=3 | eval_stage=step | eval_set=later_steps | accuracy=0.2830 | loss=6.2659
method=LoRA Normal | adapter_name=L2 | step=3 | eval_stage=step | eval_set=all_seen | accuracy=0.1887 | loss=6.9533
method=LoRA Normal | adapter_name=L3 | step=4 | eval_stage=step | eval_set=current_step | accuracy=0.5295 | loss=1.4291
method=LoRA Normal | adapter_name=L3 | step=4 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.6529
method=LoRA Normal | adapter_name=L3 | step=4 | eval_stage=step | eval_set=later_steps | accuracy=0.1765 | loss=7.8954
method=LoRA Normal | adapter_name=L3 | step=4 | eval_stage=step | eval_set=all_seen | accuracy=0.1324 | loss=8.0848
method=LoRA Normal | adapter_name=L4 | step=5 | eval_stage=step | eval_set=current_step | accuracy=0.5950 | loss=1.3007
method=LoRA Normal | adapter_name=L4 | step=5 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.4165
method=LoRA Normal | adapter_name=L4 | step=5 | eval_stage=step | eval_set=later_steps | accuracy=0.1487 | loss=8.6322
method=LoRA Normal | adapter_name=L4 | step=5 | eval_stage=step | eval_set=all_seen | accuracy=0.1190 | loss=8.5891
method=LoRA Orth | adapter_name=L1 | step=2 | eval_stage=step | eval_set=current_step | accuracy=0.5485 | loss=1.4827
method=LoRA Orth | adapter_name=L1 | step=2 | eval_stage=step | eval_set=first_step | accuracy=0.0015 | loss=8.4986
method=LoRA Orth | adapter_name=L1 | step=2 | eval_stage=step | eval_set=later_steps | accuracy=0.5485 | loss=1.4827
method=LoRA Orth | adapter_name=L1 | step=2 | eval_stage=step | eval_set=all_seen | accuracy=0.2750 | loss=4.9906
method=LoRA Orth | adapter_name=L2 | step=3 | eval_stage=step | eval_set=current_step | accuracy=0.5665 | loss=1.3640
method=LoRA Orth | adapter_name=L2 | step=3 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.3280
method=LoRA Orth | adapter_name=L2 | step=3 | eval_stage=step | eval_set=later_steps | accuracy=0.2833 | loss=6.2659
method=LoRA Orth | adapter_name=L2 | step=3 | eval_stage=step | eval_set=all_seen | accuracy=0.1888 | loss=6.9533
method=LoRA Orth | adapter_name=L3 | step=4 | eval_stage=step | eval_set=current_step | accuracy=0.5295 | loss=1.4291
method=LoRA Orth | adapter_name=L3 | step=4 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.6531
method=LoRA Orth | adapter_name=L3 | step=4 | eval_stage=step | eval_set=later_steps | accuracy=0.1765 | loss=7.8954
method=LoRA Orth | adapter_name=L3 | step=4 | eval_stage=step | eval_set=all_seen | accuracy=0.1324 | loss=8.0848
method=LoRA Orth | adapter_name=L4 | step=5 | eval_stage=step | eval_set=current_step | accuracy=0.5945 | loss=1.3024
method=LoRA Orth | adapter_name=L4 | step=5 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.4316
method=LoRA Orth | adapter_name=L4 | step=5 | eval_stage=step | eval_set=later_steps | accuracy=0.1486 | loss=8.6082
method=LoRA Orth | adapter_name=L4 | step=5 | eval_stage=step | eval_set=all_seen | accuracy=0.1189 | loss=8.5729
method=LoRA Replay | adapter_name=L1 | step=2 | eval_stage=step | eval_set=current_step | accuracy=0.5390 | loss=1.5323
method=LoRA Replay | adapter_name=L1 | step=2 | eval_stage=step | eval_set=first_step | accuracy=0.0615 | loss=4.9282
method=LoRA Replay | adapter_name=L1 | step=2 | eval_stage=step | eval_set=later_steps | accuracy=0.5390 | loss=1.5323
