loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
12.1500634765625,10.77069091796875,3.92e-06,0.08,50,,,,,,,,,,
11.90984375,10.348483085632324,7.92e-06,0.16,100,,,,,,,,,,
11.2725,11.67034912109375,1.1920000000000001e-05,0.24,150,,,,,,,,,,
9.16397216796875,13.677458763122559,1.592e-05,0.32,200,,,,,,,,,,
4.6714404296875,7.939981937408447,1.992e-05,0.4,250,,,,,,,,,,
3.32374267578125,7.520622730255127,2.392e-05,0.48,300,,,,,,,,,,
2.9681201171875,6.221011161804199,2.792e-05,0.56,350,,,,,,,,,,
2.778682861328125,5.741601943969727,3.192e-05,0.64,400,,,,,,,,,,
2.667899169921875,6.93915319442749,3.592e-05,0.72,450,,,,,,,,,,
2.478477783203125,6.875125885009766,3.9920000000000004e-05,0.8,500,,,,,,,,,,
2.390009765625,6.3110504150390625,4.392e-05,0.88,550,,,,,,,,,,
2.3021661376953126,7.588863372802734,4.792e-05,0.96,600,,,,,,,,,,
,,,1.0,625,2.1929666996002197,0.319,2.2167,902.224,28.42,,,,,
2.197451171875,5.9095234870910645,4.9997754150313815e-05,1.04,650,,,,,,,,,,
2.0784127807617185,7.386346817016602,4.997865155118557e-05,1.12,700,,,,,,,,,,
2.0474908447265623,6.438421726226807,4.9940071350953255e-05,1.2,750,,,,,,,,,,
1.9861721801757812,7.435873031616211,4.988204363329648e-05,1.28,800,,,,,,,,,,
1.9298219299316406,6.1419243812561035,4.980461364648398e-05,1.3599999999999999,850,,,,,,,,,,
1.8034959411621094,7.196905136108398,4.9707841768090314e-05,1.44,900,,,,,,,,,,
1.8930267333984374,7.1188178062438965,4.959180345791528e-05,1.52,950,,,,,,,,,,
1.8359219360351562,6.34320592880249,4.9456589199142637e-05,1.6,1000,,,,,,,,,,
1.773978271484375,5.249927997589111,4.930230442778403e-05,1.6800000000000002,1050,,,,,,,,,,
1.722587890625,8.427641868591309,4.9129069450463186e-05,1.76,1100,,,,,,,,,,
1.7519371032714843,6.348862171173096,4.893701935060439e-05,1.8399999999999999,1150,,,,,,,,,,
1.739476776123047,6.6489973068237305,4.872630388309849e-05,1.92,1200,,,,,,,,,,
1.6673165893554687,5.674943923950195,4.849708735752859e-05,2.0,1250,,,,,,,,,,
,,,2.0,1250,1.708860993385315,0.451,2.2023,908.152,28.607,,,,,
1.63776123046875,6.350414276123047,4.824954851004633e-05,2.08,1300,,,,,,,,,,
1.71928466796875,5.811638355255127,4.798388036399883e-05,2.16,1350,,,,,,,,,,
1.5928544616699218,5.8836259841918945,4.7700290079414896e-05,2.24,1400,,,,,,,,,,
1.5841651916503907,6.373040199279785,4.739899879146785e-05,2.32,1450,,,,,,,,,,
1.61475341796875,6.400409698486328,4.708024143804097e-05,2.4,1500,,,,,,,,,,
1.571143798828125,7.667478084564209,4.674426657653003e-05,2.48,1550,,,,,,,,,,
1.5292985534667969,8.341833114624023,4.6391336190025644e-05,2.56,1600,,,,,,,,,,
1.5765420532226562,8.142691612243652,4.602172548302684e-05,2.64,1650,,,,,,,,,,
1.6313906860351564,7.192341327667236,4.5635722666844775e-05,2.7199999999999998,1700,,,,,,,,,,
1.577155303955078,6.446784973144531,4.523362873486427e-05,2.8,1750,,,,,,,,,,
1.5379100036621094,7.312610149383545,4.481575722783821e-05,2.88,1800,,,,,,,,,,
1.6634732055664063,6.728945732116699,4.4382433989397895e-05,2.96,1850,,,,,,,,,,
,,,3.0,1875,1.6081311702728271,0.4835,2.2188,901.384,28.394,,,,,
1.5462957763671874,6.987277507781982,4.393399691197e-05,3.04,1900,,,,,,,,,,
1.5503013610839844,8.473752975463867,4.3470795673298206e-05,3.12,1950,,,,,,,,,,
1.5158062744140626,8.084833145141602,4.2993191463774997e-05,3.2,2000,,,,,,,,,,
1.578516082763672,8.423476219177246,4.250155670479628e-05,3.2800000000000002,2050,,,,,,,,,,
1.5017921447753906,7.646698474884033,4.19962747583584e-05,3.36,2100,,,,,,,,,,
1.5065562438964843,7.497867107391357,4.1477739628123934e-05,3.44,2150,,,,,,,,,,
1.5108650207519532,7.3129448890686035,4.094635565218955e-05,3.52,2200,,,,,,,,,,
1.37230712890625,7.739541530609131,4.0402537187795274e-05,3.6,2250,,,,,,,,,,
1.4868350219726563,7.97727108001709,3.984670828822118e-05,3.68,2300,,,,,,,,,,
1.48957763671875,7.4319353103637695,3.927930237212345e-05,3.76,2350,,,,,,,,,,
1.5253828430175782,8.014391899108887,3.870076188556746e-05,3.84,2400,,,,,,,,,,
1.5026153564453124,7.0186991691589355,3.811153795702174e-05,3.92,2450,,,,,,,,,,
1.5388687133789063,6.494654655456543,3.751209004558149e-05,4.0,2500,,,,,,,,,,
,,,4.0,2500,1.5201665163040161,0.509,2.1771,918.637,28.937,,,,,
1.4054072570800782,6.517927169799805,3.690288558269623e-05,4.08,2550,,,,,,,,,,
1.446455078125,6.963469982147217,3.628439960768082e-05,4.16,2600,,,,,,,,,,
1.4670022583007813,11.055851936340332,3.565711439729408e-05,4.24,2650,,,,,,,,,,
1.4196292114257814,6.198854923248291,3.5021519089673876e-05,4.32,2700,,,,,,,,,,
1.47343994140625,7.492609024047852,3.437810930292195e-05,4.4,2750,,,,,,,,,,
1.4033944702148438,6.239135265350342,3.372738674863577e-05,4.48,2800,,,,,,,,,,
1.4152194213867189,7.453737258911133,3.3069858840688994e-05,4.5600000000000005,2850,,,,,,,,,,
1.4255718994140625,7.753818511962891,3.240603829956531e-05,4.64,2900,,,,,,,,,,
1.374627685546875,7.025519847869873,3.173644275255451e-05,4.72,2950,,,,,,,,,,
1.36912841796875,8.33194637298584,3.1061594330122246e-05,4.8,3000,,,,,,,,,,
1.43228515625,7.965549945831299,3.0382019258768403e-05,4.88,3050,,,,,,,,,,
1.4382272338867188,7.945756912231445,2.9698247450691525e-05,4.96,3100,,,,,,,,,,
,,,5.0,3125,1.4884222745895386,0.515,2.2109,904.615,28.495,,,,,
1.3993338012695313,6.8098955154418945,2.901081209057921e-05,5.04,3150,,,,,,,,,,
1.3473231506347656,7.16948938369751,2.832024921984674e-05,5.12,3200,,,,,,,,,,
1.4174209594726563,8.944121360778809,2.7627097318648076e-05,5.2,3250,,,,,,,,,,
1.4184661865234376,8.216068267822266,2.693189688598528e-05,5.28,3300,,,,,,,,,,
1.3896835327148438,7.169131278991699,2.623519001824362e-05,5.36,3350,,,,,,,,,,
1.3967625427246093,8.850403785705566,2.5537519986481122e-05,5.44,3400,,,,,,,,,,
1.3384098815917969,8.159029006958008,2.4839430812802157e-05,5.52,3450,,,,,,,,,,
1.3541069030761719,8.281566619873047,2.414146684614533e-05,5.6,3500,,,,,,,,,,
1.3927674865722657,8.225312232971191,2.3444172337816592e-05,5.68,3550,,,,,,,,,,
1.3872357177734376,11.615983963012695,2.2748091017098423e-05,5.76,3600,,,,,,,,,,
1.3601899719238282,11.340389251708984,2.205376566726611e-05,5.84,3650,,,,,,,,,,
1.3676412963867188,7.92084264755249,2.1361737702341634e-05,5.92,3700,,,,,,,,,,
1.309112548828125,6.665236949920654,2.067254674491538e-05,6.0,3750,,,,,,,,,,
,,,6.0,3750,1.455491304397583,0.521,2.2259,898.531,28.304,,,,,
1.3776252746582032,9.914290428161621,1.998673020536456e-05,6.08,3800,,,,,,,,,,
1.3135604858398438,6.639276504516602,1.9304822862796903e-05,6.16,3850,,,,,,,,,,
1.2918377685546876,9.698017120361328,1.8627356448045867e-05,6.24,3900,,,,,,,,,,
1.404292449951172,7.562788009643555,1.7954859229043016e-05,6.32,3950,,,,,,,,,,
1.3148651123046875,8.222498893737793,1.728785559889052e-05,6.4,4000,,,,,,,,,,
1.3791322326660156,9.79377555847168,1.662686566695525e-05,6.48,4050,,,,,,,,,,
1.3352801513671875,8.089357376098633,1.5972404853303062e-05,6.5600000000000005,4100,,,,,,,,,,
1.396990509033203,10.470191955566406,1.5324983486789818e-05,6.64,4150,,,,,,,,,,
1.2541213989257813,6.120371341705322,1.4685106407122218e-05,6.72,4200,,,,,,,,,,
1.2977534484863282,8.950676918029785,1.4053272571199036e-05,6.8,4250,,,,,,,,,,
1.3068460083007813,7.88217830657959,1.3429974664039501e-05,6.88,4300,,,,,,,,,,
1.3840946960449219,8.069296836853027,1.2815698714602403e-05,6.96,4350,,,,,,,,,,
,,,7.0,4375,1.4429415464401245,0.5245,2.1799,917.493,28.901,,,,,
1.238682174682617,7.888369560241699,1.2210923716795233e-05,7.04,4400,,,,,,,,,,
1.3251518249511718,9.052424430847168,1.1616121255969226e-05,7.12,4450,,,,,,,,,,
1.35146240234375,6.3571977615356445,1.1031755141191258e-05,7.2,4500,,,,,,,,,,
1.2784609985351563,8.545470237731934,1.0458281043579482e-05,7.28,4550,,,,,,,,,,
1.2669931030273438,7.414247035980225,9.89614614098471e-06,7.36,4600,,,,,,,,,,
1.3411520385742188,9.795755386352539,9.345788769294569e-06,7.44,4650,,,,,,,,,,
1.33002197265625,9.62487506866455,8.807638080632374e-06,7.52,4700,,,,,,,,,,
1.26666748046875,7.8359456062316895,8.282113708717168e-06,7.6,4750,,,,,,,,,,
1.3412811279296875,7.580997467041016,7.76962544164604e-06,7.68,4800,,,,,,,,,,
1.2220103454589843,8.60873794555664,7.270572902353634e-06,7.76,4850,,,,,,,,,,
1.3336627197265625,9.858891487121582,6.785345236998242e-06,7.84,4900,,,,,,,,,,
1.2653471374511718,7.597951889038086,6.314320811517313e-06,7.92,4950,,,,,,,,,,
1.304916534423828,9.68039608001709,5.857866916589089e-06,8.0,5000,,,,,,,,,,
,,,8.0,5000,1.4327466487884521,0.526,2.1805,917.226,28.893,,,,,
1.3051455688476563,6.716576099395752,5.416339481230378e-06,8.08,5050,,,,,,,,,,
1.2635448455810547,9.248470306396484,4.9900827952538255e-06,8.16,5100,,,,,,,,,,
1.2630471801757812,5.953422546386719,4.579429240801028e-06,8.24,5150,,,,,,,,,,
1.3217889404296874,6.245504856109619,4.1846990331610245e-06,8.32,5200,,,,,,,,,,
1.257066116333008,8.000039100646973,3.8061999710759468e-06,8.4,5250,,,,,,,,,,
