method,eval_set,accuracy,loss
simple_avg,first_step,0.503,3.023453712463379
simple_avg,later_steps,0.39775,3.256606340408325
simple_avg,all_seen,0.4188,3.2099759578704834
simple_avg_kd_T1,first_step,0.696,2.4605257511138916
simple_avg_kd_T1,later_steps,0.22325,3.5465633869171143
simple_avg_kd_T1,all_seen,0.3178,3.3293566703796387
simple_avg_kd_T2,first_step,0.71,2.4694697856903076
simple_avg_kd_T2,later_steps,0.26875,3.4734859466552734
simple_avg_kd_T2,all_seen,0.357,3.2726831436157227
simple_avg_delta_orth,first_step,0.292,3.2396411895751953
simple_avg_delta_orth,later_steps,0.638875,2.314373016357422
simple_avg_delta_orth,all_seen,0.5695,2.49942684173584
simple_avg_delta_orth_kd_T1,first_step,0.5125,2.8449981212615967
simple_avg_delta_orth_kd_T1,later_steps,0.573375,2.7517635822296143
simple_avg_delta_orth_kd_T1,all_seen,0.5612,2.7704110145568848
simple_avg_delta_orth_kd_T2,first_step,0.4765,2.865623950958252
simple_avg_delta_orth_kd_T2,later_steps,0.607875,2.602243661880493
simple_avg_delta_orth_kd_T2,all_seen,0.5816,2.6549203395843506
simple_avg_factor_orth,first_step,0.0135,4.205089092254639
simple_avg_factor_orth,later_steps,0.72875,1.3088005781173706
simple_avg_factor_orth,all_seen,0.5857,1.888059377670288
simple_avg_factor_orth_kd_T1,first_step,0.1475,3.354224681854248
simple_avg_factor_orth_kd_T1,later_steps,0.722875,1.672385573387146
simple_avg_factor_orth_kd_T1,all_seen,0.6078,2.008754014968872
simple_avg_factor_orth_kd_T2,first_step,0.104,3.483074188232422
simple_avg_factor_orth_kd_T2,later_steps,0.738875,1.4378435611724854
simple_avg_factor_orth_kd_T2,all_seen,0.6119,1.8468894958496094
rank_extension,first_step,0.0295,6.328028202056885
rank_extension,later_steps,0.254625,5.027461051940918
rank_extension,all_seen,0.2096,5.287569522857666
rank_extension_kd_only_T1,first_step,0.738,1.0311492681503296
rank_extension_kd_only_T1,later_steps,0.538375,1.5836646556854248
rank_extension_kd_only_T1,all_seen,0.5783,1.4731611013412476
rank_extension_kd_only_T2,first_step,0.59,1.259784460067749
rank_extension_kd_only_T2,later_steps,0.531625,1.5576701164245605
rank_extension_kd_only_T2,all_seen,0.5433,1.4980928897857666
rank_extension_orth_delta_trace_lam_50,first_step,0.016,6.313412666320801
rank_extension_orth_delta_trace_lam_50,later_steps,0.25075,4.7844414710998535
rank_extension_orth_delta_trace_lam_50,all_seen,0.2038,5.090237617492676
rank_extension_orth_delta_trace_lam_50_kd_T1,first_step,0.7605,0.98415207862854
rank_extension_orth_delta_trace_lam_50_kd_T1,later_steps,0.53675,1.5788127183914185
rank_extension_orth_delta_trace_lam_50_kd_T1,all_seen,0.5815,1.4598816633224487
rank_extension_orth_delta_trace_lam_50_kd_T2,first_step,0.6205,1.2388372421264648
rank_extension_orth_delta_trace_lam_50_kd_T2,later_steps,0.543875,1.5425848960876465
rank_extension_orth_delta_trace_lam_50_kd_T2,all_seen,0.5592,1.4818347692489624
rank_extension_orth_factor_lam_50,first_step,0.107,4.703573226928711
rank_extension_orth_factor_lam_50,later_steps,0.401125,2.719313859939575
rank_extension_orth_factor_lam_50,all_seen,0.3423,3.116164445877075
rank_extension_orth_factor_lam_50_kd_T1,first_step,0.845,0.6727936863899231
rank_extension_orth_factor_lam_50_kd_T1,later_steps,0.577625,1.447113037109375
rank_extension_orth_factor_lam_50_kd_T1,all_seen,0.6311,1.292250156402588
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.8005,0.7483737468719482
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.65175,1.255239725112915
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6815,1.1538673639297485
