method,display_name,supervisor_requested_name,family,base_method,uses_kd,kd_temperature,kd_weight,uses_delta_trace,uses_factor_orth,lambda_orth,lambda_delta_trace,lambda_factor_orth,uses_replay,uses_zero_old,rank,rank_schedule,target_modules,first_step,later_steps,all_seen,old_new_gap,avg_forgetting
simple_avg,SimpleAvg,simple_avg,simple_avg,simple_avg,False,0.0,0.0,False,False,0.0,0.0,0.0,False,False,80,fixed:80,"q_proj, v_proj",50.3,39.775,41.88,10.524999999999999,
simple_avg_kd_T1,SimpleAvg + KD T1,simple_avg_kd_T1,simple_avg,simple_avg_kd,True,1.0,1.0,False,False,0.0,0.0,0.0,False,False,80,fixed:80,"q_proj, v_proj",69.6,22.325,31.78,47.27499999999999,
simple_avg_kd_T2,SimpleAvg + KD T2,simple_avg_kd_T2,simple_avg,simple_avg_kd,True,2.0,1.0,False,False,0.0,0.0,0.0,False,False,80,fixed:80,"q_proj, v_proj",71.0,26.875,35.699999999999996,44.125,
simple_avg_delta_orth,SimpleAvg + DeltaTrace,simple_avg_delta_orth,simple_avg,simple_avg_delta_orth,False,0.0,0.0,True,False,50.0,50.0,0.0,False,False,80,fixed:80,"q_proj, v_proj",29.2,63.887499999999996,56.95,-34.6875,
simple_avg_delta_orth_kd_T1,SimpleAvg + DeltaTrace + KD T1,simple_avg_delta_orth_kd_T1,simple_avg,simple_avg_delta_orth_kd,True,1.0,1.0,True,False,50.0,50.0,0.0,False,False,80,fixed:80,"q_proj, v_proj",51.24999999999999,57.3375,56.120000000000005,-6.087500000000006,
simple_avg_delta_orth_kd_T2,SimpleAvg + DeltaTrace + KD T2,simple_avg_delta_orth_kd_T2,simple_avg,simple_avg_delta_orth_kd,True,2.0,1.0,True,False,50.0,50.0,0.0,False,False,80,fixed:80,"q_proj, v_proj",47.65,60.78750000000001,58.160000000000004,-13.13750000000001,
simple_avg_factor_orth,SimpleAvg + FactorOrth,simple_avg_factor_orth_lam_50,simple_avg,simple_avg_factor_orth,False,0.0,0.0,False,True,50.0,0.0,50.0,False,False,80,fixed:80,"q_proj, v_proj",1.35,72.875,58.57,-71.525,
simple_avg_factor_orth_kd_T1,SimpleAvg + FactorOrth + KD T1,simple_avg_factor_orth_kd_T1,simple_avg,simple_avg_factor_orth_kd,True,1.0,1.0,False,True,50.0,0.0,50.0,False,False,80,fixed:80,"q_proj, v_proj",14.75,72.28750000000001,60.78,-57.53750000000001,
simple_avg_factor_orth_kd_T2,SimpleAvg + FactorOrth + KD T2,simple_avg_factor_orth_lam_50_kd_T2,simple_avg,simple_avg_factor_orth_kd,True,2.0,1.0,False,True,50.0,0.0,50.0,False,False,80,fixed:80,"q_proj, v_proj",10.4,73.88749999999999,61.19,-63.48749999999999,
rank_extension,RankExt,rank_extension,rank_extension,rank_extension,False,0.0,0.0,False,False,0.0,0.0,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",2.9499999999999997,25.4625,20.96,-22.5125,0.9157500000000001
rank_extension_kd_only_T1,RankExt + KD T1,rank_extension_kd_only_T1,rank_extension,rank_extension_kd_only,True,1.0,1.0,False,False,0.0,0.0,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",73.8,53.837500000000006,57.830000000000005,19.96249999999999,0.270625
rank_extension_kd_only_T2,RankExt + KD T2,rank_extension_kd_only_T2,rank_extension,rank_extension_kd_only,True,2.0,1.0,False,False,0.0,0.0,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",59.0,53.1625,54.33,5.837499999999999,0.38749999999999996
rank_extension_orth_delta_trace_lam_50,RankExt + DeltaTrace,rank_extension_orth_delta_trace_lam_50,rank_extension,rank_extension_orth_delta_trace_lam_50,False,0.0,0.0,True,False,50.0,50.0,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",1.6,25.074999999999996,20.380000000000003,-23.474999999999994,0.918625
rank_extension_orth_delta_trace_lam_50_kd_T1,RankExt + DeltaTrace + KD T1,rank_extension_orth_delta_trace_lam_50_kd_T1,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,True,1.0,1.0,True,False,50.0,50.0,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",76.05,53.675,58.15,22.375,0.25825
rank_extension_orth_delta_trace_lam_50_kd_T2,RankExt + DeltaTrace + KD T2,rank_extension_orth_delta_trace_lam_50_kd_T2,rank_extension,rank_extension_orth_delta_trace_lam_50_kd,True,2.0,1.0,True,False,50.0,50.0,0.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",62.050000000000004,54.3875,55.92,7.662500000000001,0.365875
rank_extension_orth_factor_lam_50,RankExt + FactorOrth,rank_extension_orth_factor_lam_50,rank_extension,rank_extension_orth_factor_lam_50,False,0.0,0.0,False,True,50.0,0.0,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",10.7,40.112500000000004,34.23,-29.412500000000005,0.7493749999999999
rank_extension_orth_factor_lam_50_kd_T1,RankExt + FactorOrth + KD T1,rank_extension_orth_factor_lam_50_kd_T1,rank_extension,rank_extension_orth_factor_lam_50_kd,True,1.0,1.0,False,True,50.0,0.0,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",84.5,57.7625,63.11,26.737499999999997,0.15787500000000004
rank_extension_orth_factor_lam_50_kd_T2,RankExt + FactorOrth + KD T2,rank_extension_orth_factor_lam_50_kd_T2,rank_extension,rank_extension_orth_factor_lam_50_kd,True,2.0,1.0,False,True,50.0,0.0,50.0,False,False,80,16->32->48->64->80,"q_proj, v_proj",80.05,65.17500000000001,68.15,14.874999999999986,0.17024999999999998
