loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.7077987670898436,4.726162433624268,2.3333333333333336e-05,0.08,50,,,,,,,,,,
1.69132080078125,4.131216526031494,2.9697289686635703e-05,0.16,100,,,,,,,,,,
0.5305091857910156,3.2776734828948975,2.829978101908969e-05,0.24,150,,,,,,,,,,
0.26779497146606446,3.679410219192505,2.5870028079790644e-05,0.32,200,,,,,,,,,,
0.17614925384521485,2.083806276321411,2.2596612812288356e-05,0.4,250,,,,,,,,,,
0.1740327262878418,0.825354814529419,1.8733596855199147e-05,0.48,300,,,,,,,,,,
0.1414778232574463,5.0495734214782715,1.4580802896405795e-05,0.56,350,,,,,,,,,,
0.14310186386108398,0.7405146360397339,1.0460544346150335e-05,0.64,400,,,,,,,,,,
0.11688657760620118,0.9193798899650574,6.6926094235423925e-06,0.72,450,,,,,,,,,,
0.128438720703125,1.5152671337127686,3.5694412323155945e-06,0.8,500,,,,,,,,,,
0.09832755088806153,2.4384684562683105,1.3334401902277849e-06,0.88,550,,,,,,,,,,
0.14917253494262694,0.7333540320396423,1.5815045293205544e-07,0.96,600,,,,,,,,,,
,,,1.0,625,0.12776066362857819,0.9735,1.2914,1548.736,48.785,,,,,
,,,1.0,625,,,,,,31.1188,321.349,20.084,7.7504491266048e+17,0.5920075462341309
,,,1.0,625,0.12776066362857819,0.9735,1.2313,1624.25,51.164,,,,,
