experiment,method,step,eval_type,eval_accuracy,eval_loss,total_rank
rankext_step_2,rank_extension,2,current_step,0.3006666666666667,3.2784037590026855,8.0
rankext_step_2,rank_extension,2,first_step,0.003,6.836141109466553,8.0
rankext_step_2,rank_extension,2,later_steps_seen_so_far,0.3006666666666667,3.2784037590026855,8.0
rankext_step_2,rank_extension,2,all_seen,0.08418181818181818,5.86584997177124,8.0
rankext_step_3,rank_extension,3,current_step,0.4533333333333333,3.034902334213257,16.0
rankext_step_3,rank_extension,3,first_step,0.0,6.924516201019287,16.0
rankext_step_3,rank_extension,3,later_steps_seen_so_far,0.22666666666666666,3.7041008472442627,16.0
rankext_step_3,rank_extension,3,all_seen,0.09714285714285714,5.544337749481201,16.0
rankext_step_4,rank_extension,4,current_step,0.5073333333333333,2.963113307952881,24.0
rankext_step_4,rank_extension,4,first_step,0.0,6.92561674118042,24.0
rankext_step_4,rank_extension,4,later_steps_seen_so_far,0.1691111111111111,3.8793394565582275,24.0
rankext_step_4,rank_extension,4,all_seen,0.08952941176470589,5.3128814697265625,24.0
rankext_step_5,rank_extension,5,current_step,0.51,2.9459733963012695,32.0
rankext_step_5,rank_extension,5,first_step,0.0,6.929710865020752,32.0
rankext_step_5,rank_extension,5,later_steps_seen_so_far,0.1275,3.9880547523498535,32.0
rankext_step_5,rank_extension,5,all_seen,0.0765,5.164718151092529,32.0
ft_step_2,full_finetune,2,current_step,0.694,1.0214134454727173,
ft_step_2,full_finetune,2,first_step,0.01225,7.914151191711426,
ft_step_2,full_finetune,2,later_steps_seen_so_far,0.694,1.0214134454727173,
ft_step_2,full_finetune,2,all_seen,0.19818181818181818,6.034310340881348,
ft_step_3,full_finetune,3,current_step,0.688,1.012790560722351,
ft_step_3,full_finetune,3,first_step,0.00225,9.377253532409668,
ft_step_3,full_finetune,3,later_steps_seen_so_far,0.344,3.9807546138763428,
ft_step_3,full_finetune,3,all_seen,0.14871428571428572,7.064467430114746,
ft_step_4,full_finetune,4,current_step,0.7206666666666667,0.9184887409210205,
ft_step_4,full_finetune,4,first_step,0.0,9.507675170898438,
ft_step_4,full_finetune,4,later_steps_seen_so_far,0.24022222222222223,5.399284839630127,
ft_step_4,full_finetune,4,all_seen,0.1271764705882353,7.332646369934082,
ft_step_5,full_finetune,5,current_step,0.7413333333333333,0.8461827635765076,
ft_step_5,full_finetune,5,first_step,0.0,9.46741008758545,
ft_step_5,full_finetune,5,later_steps_seen_so_far,0.18533333333333332,6.036781311035156,
ft_step_5,full_finetune,5,all_seen,0.1112,7.409031391143799,
rankext_final_eval,rank_extension,5,first_step,0.0,6.929710865020752,
rankext_final_eval,rank_extension,5,later_steps,0.1275,3.9880547523498535,
rankext_final_eval,rank_extension,5,all_seen,0.0765,5.164718151092529,
ft_final_eval,full_finetune,5,first_step,0.0,9.46741008758545,
ft_final_eval,full_finetune,5,later_steps,0.18533333333333332,6.036781311035156,
ft_final_eval,full_finetune,5,all_seen,0.1112,7.409031391143799,
joint_final_eval,joint_upper_bound,5,first_step,0.282,2.9772236347198486,
joint_final_eval,joint_upper_bound,5,later_steps,0.31483333333333335,2.7674593925476074,
joint_final_eval,joint_upper_bound,5,all_seen,0.3017,2.851365804672241,
