method,adapter_name,step,eval_stage,eval_set,accuracy,loss
Rank-Extension LoRA,RankExt_s2,2,step,current_step,0.3006666666666667,3.2784037590026855
Rank-Extension LoRA,RankExt_s2,2,step,first_step,0.003,6.836141109466553
Rank-Extension LoRA,RankExt_s2,2,step,later_steps_seen_so_far,0.3006666666666667,3.2784037590026855
Rank-Extension LoRA,RankExt_s2,2,step,all_seen,0.08418181818181818,5.86584997177124
Rank-Extension LoRA,RankExt_s3,3,step,current_step,0.4533333333333333,3.034902334213257
Rank-Extension LoRA,RankExt_s3,3,step,first_step,0.0,6.924516201019287
Rank-Extension LoRA,RankExt_s3,3,step,later_steps_seen_so_far,0.22666666666666666,3.7041008472442627
Rank-Extension LoRA,RankExt_s3,3,step,all_seen,0.09714285714285714,5.544337749481201
Rank-Extension LoRA,RankExt_s4,4,step,current_step,0.5073333333333333,2.963113307952881
Rank-Extension LoRA,RankExt_s4,4,step,first_step,0.0,6.92561674118042
Rank-Extension LoRA,RankExt_s4,4,step,later_steps_seen_so_far,0.1691111111111111,3.8793394565582275
Rank-Extension LoRA,RankExt_s4,4,step,all_seen,0.08952941176470589,5.3128814697265625
Rank-Extension LoRA,RankExt_s5,5,step,current_step,0.51,2.9459733963012695
Rank-Extension LoRA,RankExt_s5,5,step,first_step,0.0,6.929710865020752
Rank-Extension LoRA,RankExt_s5,5,step,later_steps_seen_so_far,0.1275,3.9880547523498535
Rank-Extension LoRA,RankExt_s5,5,step,all_seen,0.0765,5.164718151092529
Full FT,,2,step,current_step,0.694,1.0214134454727173
Full FT,,2,step,first_step,0.01225,7.914151191711426
Full FT,,2,step,later_steps_seen_so_far,0.694,1.0214134454727173
Full FT,,2,step,all_seen,0.19818181818181818,6.034310340881348
Full FT,,3,step,current_step,0.688,1.012790560722351
Full FT,,3,step,first_step,0.00225,9.377253532409668
Full FT,,3,step,later_steps_seen_so_far,0.344,3.9807546138763428
Full FT,,3,step,all_seen,0.14871428571428572,7.064467430114746
Full FT,,4,step,current_step,0.7206666666666667,0.9184887409210205
Full FT,,4,step,first_step,0.0,9.507675170898438
Full FT,,4,step,later_steps_seen_so_far,0.24022222222222223,5.399284839630127
Full FT,,4,step,all_seen,0.1271764705882353,7.332646369934082
Full FT,,5,step,current_step,0.7413333333333333,0.8461827635765076
Full FT,,5,step,first_step,0.0,9.46741008758545
Full FT,,5,step,later_steps_seen_so_far,0.18533333333333332,6.036781311035156
Full FT,,5,step,all_seen,0.1112,7.409031391143799
Rank-Extension LoRA,RankExt_final,5,final,first_step,0.0,6.929710865020752
Rank-Extension LoRA,RankExt_final,5,final,later_steps,0.1275,3.9880547523498535
Rank-Extension LoRA,RankExt_final,5,final,all_seen,0.0765,5.164718151092529
Full FT,,5,final,first_step,0.0,9.46741008758545
Full FT,,5,final,later_steps,0.18533333333333332,6.036781311035156
Full FT,,5,final,all_seen,0.1112,7.409031391143799
Joint,,5,final,first_step,0.282,2.9772236347198486
Joint,,5,final,later_steps,0.31483333333333335,2.7674593925476074
Joint,,5,final,all_seen,0.3017,2.851365804672241
