experiment,method,step,eval_type,eval_accuracy,eval_loss
step1_scratch,full_finetune,1,current_step,0.3115,2.276371479034424
lora_step_2,lora_replay,2,current_step,0.2665,2.5214173793792725
lora_step_2,lora_replay,2,first_step,0.0655,3.93389892578125
lora_step_2,lora_replay,2,later_steps_seen_so_far,0.2665,2.5214173793792725
lora_step_2,lora_replay,2,all_seen,0.166,3.2276594638824463
lora_step_3,lora_replay,3,current_step,0.3365,2.447206974029541
lora_step_3,lora_replay,3,first_step,0.0375,4.029089450836182
lora_step_3,lora_replay,3,later_steps_seen_so_far,0.1695,3.3745532035827637
lora_step_3,lora_replay,3,all_seen,0.1255,3.592733144760132
lora_step_4,lora_replay,4,current_step,0.3035,2.56333065032959
lora_step_4,lora_replay,4,first_step,0.0355,4.199801445007324
lora_step_4,lora_replay,4,later_steps_seen_so_far,0.10133333333333333,3.775576114654541
lora_step_4,lora_replay,4,all_seen,0.084875,3.8816328048706055
lora_step_5,lora_replay,5,current_step,0.353,2.62197208404541
lora_step_5,lora_replay,5,first_step,0.0205,4.35739803314209
lora_step_5,lora_replay,5,later_steps_seen_so_far,0.09125,4.001773357391357
lora_step_5,lora_replay,5,all_seen,0.0771,4.072898864746094
ft_step_2,ft_replay,2,current_step,0.2715,2.579730749130249
ft_step_2,ft_replay,2,first_step,0.0655,3.972034215927124
ft_step_2,ft_replay,2,later_steps_seen_so_far,0.2715,2.579730749130249
ft_step_2,ft_replay,2,all_seen,0.1685,3.275883674621582
ft_step_3,ft_replay,3,current_step,0.349,2.4494893550872803
ft_step_3,ft_replay,3,first_step,0.033,4.089079856872559
ft_step_3,ft_replay,3,later_steps_seen_so_far,0.192,3.2845165729522705
ft_step_3,ft_replay,3,all_seen,0.139,3.552704334259033
ft_step_4,ft_replay,4,current_step,0.334,2.502012252807617
ft_step_4,ft_replay,4,first_step,0.0505,4.1339240074157715
ft_step_4,ft_replay,4,later_steps_seen_so_far,0.14683333333333334,3.5472681522369385
ft_step_4,ft_replay,4,all_seen,0.12275,3.693931818008423
ft_step_5,ft_replay,5,current_step,0.3935,2.498825788497925
ft_step_5,ft_replay,5,first_step,0.0335,4.291598796844482
ft_step_5,ft_replay,5,later_steps_seen_so_far,0.134875,3.701720714569092
ft_step_5,ft_replay,5,all_seen,0.1146,3.8196969032287598
lora_merged_final_eval,lora_merged,5,first_step,0.321,2.4430155754089355
lora_merged_final_eval,lora_merged,5,later_steps,0.0,9.050186157226562
lora_merged_final_eval,lora_merged,5,all_seen,0.0642,7.7287516593933105
lora_weighted_final_eval,lora_weighted,5,first_step,0.3175,2.5303003787994385
lora_weighted_final_eval,lora_weighted,5,later_steps,0.000875,7.7985968589782715
lora_weighted_final_eval,lora_weighted,5,all_seen,0.0642,6.744937419891357
lora_pairwise_final_eval,lora_pairwise,5,first_step,0.321,2.4430155754089355
lora_pairwise_final_eval,lora_pairwise,5,later_steps,0.0,9.050186157226562
lora_pairwise_final_eval,lora_pairwise,5,all_seen,0.0642,7.7287516593933105
ft_final_eval,full_finetune,5,first_step,0.0335,4.291598796844482
ft_final_eval,full_finetune,5,later_steps,0.134875,3.701720714569092
ft_final_eval,full_finetune,5,all_seen,0.1146,3.8196969032287598
joint_final_eval,joint_upper_bound,5,first_step,0.146,3.5317819118499756
joint_final_eval,joint_upper_bound,5,later_steps,0.206,3.278542995452881
joint_final_eval,joint_upper_bound,5,all_seen,0.194,3.329190254211426
lora_weighted_balanced_final_eval,lora_weighted_balanced,5,first_step,0.3185,2.4630239009857178
lora_weighted_balanced_final_eval,lora_weighted_balanced,5,later_steps,0.0,8.6510591506958
lora_weighted_balanced_final_eval,lora_weighted_balanced,5,all_seen,0.0637,7.413453102111816
lora_weighted_old_final_eval,lora_weighted_old,5,first_step,0.3185,2.438464403152466
lora_weighted_old_final_eval,lora_weighted_old,5,later_steps,0.0,9.56618595123291
lora_weighted_old_final_eval,lora_weighted_old,5,all_seen,0.0637,8.140642166137695
