method,adapter_name,step,eval_stage,eval_set,accuracy,loss
Full FT,,1,step,current_step,0.3115,2.276371479034424
LoRA separate,L1,2,step,current_step,0.2715,2.377774477005005
LoRA separate,L1,2,step,first_step,,
LoRA separate,L1,2,step,later_steps_seen_so_far,,
LoRA separate,L1,2,step,all_seen,,
LoRA separate,L2,3,step,current_step,0.3285,2.152236223220825
LoRA separate,L2,3,step,first_step,,
LoRA separate,L2,3,step,later_steps_seen_so_far,,
LoRA separate,L2,3,step,all_seen,,
LoRA separate,L3,4,step,current_step,0.3055,2.139803409576416
LoRA separate,L3,4,step,first_step,,
LoRA separate,L3,4,step,later_steps_seen_so_far,,
LoRA separate,L3,4,step,all_seen,,
LoRA separate,L4,5,step,current_step,0.3495,2.074657917022705
LoRA separate,L4,5,step,first_step,,
LoRA separate,L4,5,step,later_steps_seen_so_far,,
LoRA separate,L4,5,step,all_seen,,
Full FT,,2,step,current_step,0.3325,2.171586513519287
Full FT,,2,step,first_step,0.0,7.767442226409912
Full FT,,2,step,later_steps_seen_so_far,0.3325,2.171586513519287
Full FT,,2,step,all_seen,0.16625,4.969511985778809
Full FT,,3,step,current_step,0.3945,1.9162348508834839
Full FT,,3,step,first_step,0.0,9.57431411743164
Full FT,,3,step,later_steps_seen_so_far,0.19725,4.742314338684082
Full FT,,3,step,all_seen,0.1315,6.3529791831970215
Full FT,,4,step,current_step,0.394,1.8781307935714722
Full FT,,4,step,first_step,0.0,8.604669570922852
Full FT,,4,step,later_steps_seen_so_far,0.13133333333333333,6.102734565734863
Full FT,,4,step,all_seen,0.0985,6.728221893310547
Full FT,,5,step,current_step,0.4475,1.7860442399978638
Full FT,,5,step,first_step,0.0,8.396825790405273
Full FT,,5,step,later_steps_seen_so_far,0.111875,6.418971538543701
Full FT,,5,step,all_seen,0.0895,6.814542293548584
Full FT,,5,final,first_step,0.0,8.396825790405273
Full FT,,5,final,later_steps,0.111875,6.418971538543701
Full FT,,5,final,all_seen,0.0895,6.814542293548584
Joint,,5,final,first_step,0.146,3.5317819118499756
Joint,,5,final,later_steps,0.206,3.278542995452881
Joint,,5,final,all_seen,0.194,3.329190254211426
