loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.6011968994140626,5.90804386138916,3.888888888888889e-05,0.08,50,,,,,,,,,,
2.979208984375,3.0576648712158203,4.949548281105951e-05,0.16,100,,,,,,,,,,
2.7853359985351562,3.7010090351104736,4.7166301698482815e-05,0.24,150,,,,,,,,,,
2.7260504150390625,3.6110451221466064,4.311671346631774e-05,0.32,200,,,,,,,,,,
2.6675399780273437,3.844421148300171,3.766102135381393e-05,0.4,250,,,,,,,,,,
2.567061767578125,4.278237819671631,3.122266142533191e-05,0.48,300,,,,,,,,,,
2.5077554321289064,3.8521804809570312,2.4301338160676324e-05,0.56,350,,,,,,,,,,
2.5117111206054688,3.9515414237976074,1.7434240576917226e-05,0.64,400,,,,,,,,,,
2.4585696411132814,4.096576690673828,1.1154349039237322e-05,0.72,450,,,,,,,,,,
2.3959178161621093,3.473145008087158,5.949068720525991e-06,0.8,500,,,,,,,,,,
2.3045280456542967,3.8253321647644043,2.222400317046308e-06,0.88,550,,,,,,,,,,
2.3315298461914065,5.109109401702881,2.635840882200924e-07,0.96,600,,,,,,,,,,
,,,1.0,625,2.276371479034424,0.3115,1.9462,1027.645,32.371,,,,,
,,,1.0,625,,,,,,52.707,189.728,11.858,7.7560054161408e+17,2.6398760864257813
,,,1.0,625,2.276371479034424,0.3115,1.7827,1121.886,35.339,,,,,
