loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
8.9714013671875,10.899245262145996,7.777777777777778e-05,0.08,50,,,,,,,,,,
4.297403564453125,7.1305952072143555,9.899096562211902e-05,0.16,100,,,,,,,,,,
2.65728271484375,6.860372543334961,9.433260339696563e-05,0.24,150,,,,,,,,,,
2.4364633178710937,7.4664764404296875,8.623342693263548e-05,0.32,200,,,,,,,,,,
2.3022254943847655,6.824977874755859,7.532204270762786e-05,0.4,250,,,,,,,,,,
2.2392962646484373,6.496720790863037,6.244532285066382e-05,0.48,300,,,,,,,,,,
2.148440246582031,7.189510345458984,4.860267632135265e-05,0.56,350,,,,,,,,,,
2.1774920654296874,7.3801984786987305,3.486848115383445e-05,0.64,400,,,,,,,,,,
2.0448548889160154,7.228580474853516,2.2308698078474645e-05,0.72,450,,,,,,,,,,
2.097366943359375,6.27859354019165,1.1898137441051982e-05,0.8,500,,,,,,,,,,
2.079239501953125,7.6206817626953125,4.444800634092616e-06,0.88,550,,,,,,,,,,
2.0892938232421874,7.820235252380371,5.271681764401848e-07,0.96,600,,,,,,,,,,
,,,1.0,625,2.074657917022705,0.3495,2.215,902.936,28.442,,,,,
,,,1.0,625,,,,,,34.8104,287.27,17.954,7.9227638267904e+17,2.9251907104492187
,,,1.0,625,2.074657917022705,0.3495,2.2176,901.881,28.409,,,,,
