method,adapter_name,step,eval_stage,eval_set,accuracy,loss
B0,B0,1,step1,current_step,0.606,1.358936071395874
LoRA Normal,L1,2,step,current_step,0.55,1.490236759185791
LoRA Normal,L1,2,step,first_step,0.0005,8.465470314025879
LoRA Normal,L1,2,step,later_steps,0.55,1.490236759185791
LoRA Normal,L1,2,step,all_seen,0.27525,4.977853775024414
LoRA Normal,L2,3,step,current_step,0.566,1.3639496564865112
LoRA Normal,L2,3,step,first_step,0.0,8.3279447555542
LoRA Normal,L2,3,step,later_steps,0.283,6.265904426574707
LoRA Normal,L2,3,step,all_seen,0.18866666666666668,6.953251361846924
LoRA Normal,L3,4,step,current_step,0.5295,1.4291081428527832
LoRA Normal,L3,4,step,first_step,0.0,8.652938842773438
LoRA Normal,L3,4,step,later_steps,0.1765,7.895358085632324
LoRA Normal,L3,4,step,all_seen,0.132375,8.084754943847656
LoRA Normal,L4,5,step,current_step,0.595,1.3006818294525146
LoRA Normal,L4,5,step,first_step,0.0,8.416482925415039
LoRA Normal,L4,5,step,later_steps,0.14875,8.632230758666992
LoRA Normal,L4,5,step,all_seen,0.119,8.589080810546875
LoRA Orth,L1,2,step,current_step,0.5485,1.4826523065567017
LoRA Orth,L1,2,step,first_step,0.0015,8.49863338470459
LoRA Orth,L1,2,step,later_steps,0.5485,1.4826523065567017
LoRA Orth,L1,2,step,all_seen,0.275,4.990642547607422
LoRA Orth,L2,3,step,current_step,0.5665,1.3639553785324097
LoRA Orth,L2,3,step,first_step,0.0,8.327971458435059
LoRA Orth,L2,3,step,later_steps,0.28325,6.265931129455566
LoRA Orth,L2,3,step,all_seen,0.18883333333333333,6.95327615737915
LoRA Orth,L3,4,step,current_step,0.5295,1.4291093349456787
LoRA Orth,L3,4,step,first_step,0.0,8.653068542480469
LoRA Orth,L3,4,step,later_steps,0.1765,7.895391941070557
LoRA Orth,L3,4,step,all_seen,0.132375,8.084811210632324
LoRA Orth,L4,5,step,current_step,0.5945,1.3024253845214844
LoRA Orth,L4,5,step,first_step,0.0,8.431558609008789
LoRA Orth,L4,5,step,later_steps,0.148625,8.608189582824707
LoRA Orth,L4,5,step,all_seen,0.1189,8.57286262512207
LoRA Replay,L1,2,step,current_step,0.539,1.532344937324524
LoRA Replay,L1,2,step,first_step,0.0615,4.9282050132751465
LoRA Replay,L1,2,step,later_steps,0.539,1.532344937324524
LoRA Replay,L1,2,step,all_seen,0.30025,3.2302756309509277
LoRA Replay,L2,3,step,current_step,0.562,1.427290439605713
LoRA Replay,L2,3,step,first_step,0.0395,5.046683311462402
LoRA Replay,L2,3,step,later_steps,0.28575,3.4376351833343506
LoRA Replay,L2,3,step,all_seen,0.20366666666666666,3.973984479904175
LoRA Replay,L3,4,step,current_step,0.531,1.5031113624572754
LoRA Replay,L3,4,step,first_step,0.068,4.933244705200195
LoRA Replay,L3,4,step,later_steps,0.18216666666666667,4.125983715057373
LoRA Replay,L3,4,step,all_seen,0.153625,4.327797889709473
LoRA Replay,L4,5,step,current_step,0.5865,1.4001024961471558
LoRA Replay,L4,5,step,first_step,0.049,4.9618635177612305
LoRA Replay,L4,5,step,later_steps,0.153125,4.383152961730957
LoRA Replay,L4,5,step,all_seen,0.1323,4.498893737792969
Full FT,,2,step,current_step,0.6225,1.2468410730361938
Full FT,,2,step,first_step,0.002,8.154943466186523
Full FT,,2,step,later_steps_seen_so_far,0.6225,1.2468410730361938
Full FT,,2,step,all_seen,0.31225,4.700890064239502
Full FT,,3,step,current_step,0.66,1.1058242321014404
Full FT,,3,step,first_step,0.0,9.101762771606445
Full FT,,3,step,later_steps_seen_so_far,0.33,4.2909932136535645
Full FT,,3,step,all_seen,0.22,5.894583225250244
Full FT,,4,step,current_step,0.633,1.1734728813171387
Full FT,,4,step,first_step,0.0,8.8798246383667
Full FT,,4,step,later_steps_seen_so_far,0.21116666666666667,5.42684268951416
Full FT,,4,step,all_seen,0.158375,6.290088653564453
Full FT,,5,step,current_step,0.7005,0.9631871581077576
Full FT,,5,step,first_step,0.0,9.22945499420166
Full FT,,5,step,later_steps_seen_so_far,0.176,6.267494201660156
Full FT,,5,step,all_seen,0.1408,6.859886169433594
Simple AVG - Normal,L1234_avg_normal,5,final,first_step,0.0195,6.563418865203857
Simple AVG - Normal,L1234_avg_normal,5,final,later_steps,0.193875,3.1585066318511963
Simple AVG - Normal,L1234_avg_normal,5,final,all_seen,0.159,3.839488983154297
Simple AVG - Orth,L1234_avg_orth,5,final,first_step,0.0175,6.640008926391602
Simple AVG - Orth,L1234_avg_orth,5,final,later_steps,0.193875,3.159083604812622
Simple AVG - Orth,L1234_avg_orth,5,final,all_seen,0.1586,3.855268716812134
Simple AVG - Replay,L1234_avg_replay,5,final,first_step,0.176,4.29788064956665
Simple AVG - Replay,L1234_avg_replay,5,final,later_steps,0.222375,3.047558546066284
Simple AVG - Replay,L1234_avg_replay,5,final,all_seen,0.2131,3.2976231575012207
Full FT,,5,final,first_step,0.0,9.22945499420166
Full FT,,5,final,later_steps,0.176,6.267494201660156
Full FT,,5,final,all_seen,0.1408,6.859886169433594
Joint,,5,final,first_step,0.512,1.9331622123718262
Joint,,5,final,later_steps,0.52825,1.906847357749939
Joint,,5,final,all_seen,0.525,1.9121109247207642
