experiment,method,step,eval_type,eval_accuracy,eval_loss
step1_scratch,full_finetune,1,current,0.5855,1.3856953382492065
step2_lora,lora,2,seen_so_far,0.48375,1.883176326751709
step3_lora,lora,3,seen_so_far,0.44783333333333336,2.078427791595459
step4_lora,lora,4,seen_so_far,0.41625,2.22598934173584
step5_lora,lora,5,seen_so_far,0.394,2.34783935546875
step2_full_finetune,full_finetune,2,seen_so_far,0.5205,1.7311519384384155
step3_full_finetune,full_finetune,3,seen_so_far,0.5143333333333333,1.8212337493896484
step4_full_finetune,full_finetune,4,seen_so_far,0.508375,1.9330127239227295
step5_full_finetune,full_finetune,5,seen_so_far,0.4916,2.0890047550201416
lora_final,lora,5,first_step,0.4105,2.403595209121704
lora_final,lora,5,later_steps,0.389875,2.333899974822998
lora_final,lora,5,all_seen,0.394,2.34783935546875
ft_final,full_finetune,5,first_step,0.4645,2.3993887901306152
ft_final,full_finetune,5,later_steps,0.498375,2.0114095211029053
ft_final,full_finetune,5,all_seen,0.4916,2.0890047550201416
joint_final,joint_upper_bound,0,first_step,0.4965,1.9571483135223389
joint_final,joint_upper_bound,0,later_steps,0.524375,1.9053219556808472
joint_final,joint_upper_bound,0,all_classes,0.5188,1.915687084197998
