method,adapter_name,step,eval_stage,eval_set,accuracy,loss
Full FT,,1,step,current_step,0.3115,2.276371479034424
LoRA separate,L1,2,step,current_step,0.2715,2.377774477005005
LoRA separate,L1,2,step,first_step,,
LoRA separate,L1,2,step,later_steps_seen_so_far,,
LoRA separate,L1,2,step,all_seen,,
LoRA separate,L2,3,step,current_step,0.3285,2.152236223220825
LoRA separate,L2,3,step,first_step,,
LoRA separate,L2,3,step,later_steps_seen_so_far,,
LoRA separate,L2,3,step,all_seen,,
LoRA separate,L3,4,step,current_step,0.3055,2.139803409576416
LoRA separate,L3,4,step,first_step,,
LoRA separate,L3,4,step,later_steps_seen_so_far,,
LoRA separate,L3,4,step,all_seen,,
LoRA separate,L4,5,step,current_step,0.3495,2.074657917022705
LoRA separate,L4,5,step,first_step,,
LoRA separate,L4,5,step,later_steps_seen_so_far,,
LoRA separate,L4,5,step,all_seen,,
Full FT,,2,step,current_step,0.2545,2.5409154891967773
Full FT,,2,step,first_step,0.009,6.471081256866455
Full FT,,2,step,later_steps_seen_so_far,0.2545,2.5409154891967773
Full FT,,2,step,all_seen,0.13175,4.505995273590088
Full FT,,3,step,current_step,0.3155,2.30911922454834
Full FT,,3,step,first_step,0.001,7.2626543045043945
Full FT,,3,step,later_steps_seen_so_far,0.15775,4.1210761070251465
Full FT,,3,step,all_seen,0.1055,5.168268203735352
Full FT,,4,step,current_step,0.3115,2.2537739276885986
Full FT,,4,step,first_step,0.0005,7.0904951095581055
Full FT,,4,step,later_steps_seen_so_far,0.10383333333333333,4.895254611968994
Full FT,,4,step,all_seen,0.078,5.444067478179932
Full FT,,5,step,current_step,0.349,2.1775457859039307
Full FT,,5,step,first_step,0.0,6.804481506347656
Full FT,,5,step,later_steps_seen_so_far,0.08725,5.2490057945251465
Full FT,,5,step,all_seen,0.0698,5.560100078582764
Full FT,,5,final,first_step,0.0,6.804481506347656
Full FT,,5,final,later_steps,0.08725,5.2490057945251465
Full FT,,5,final,all_seen,0.0698,5.560100078582764
Joint,,5,final,first_step,0.146,3.5317819118499756
Joint,,5,final,later_steps,0.206,3.278542995452881
Joint,,5,final,all_seen,0.194,3.329190254211426
