loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
6.1966650390625,6.46250581741333,2.3333333333333336e-06,0.08,50,,,,,,,,,,
3.991246337890625,4.57077693939209,2.9697289686635704e-06,0.16,100,,,,,,,,,,
3.0352392578125,5.128586769104004,2.829978101908969e-06,0.24,150,,,,,,,,,,
2.708001708984375,4.051755428314209,2.5870028079790647e-06,0.32,200,,,,,,,,,,
2.4816693115234374,4.845027923583984,2.259661281228836e-06,0.4,250,,,,,,,,,,
2.3637548828125,5.46204948425293,1.8733596855199147e-06,0.48,300,,,,,,,,,,
2.44882080078125,6.185401916503906,1.4580802896405793e-06,0.56,350,,,,,,,,,,
2.3323388671875,5.782991886138916,1.0460544346150335e-06,0.64,400,,,,,,,,,,
2.297479553222656,5.204599857330322,6.692609423542393e-07,0.72,450,,,,,,,,,,
2.333521423339844,4.830765724182129,3.569441232315594e-07,0.8,500,,,,,,,,,,
2.277177734375,7.355126857757568,1.3334401902277849e-07,0.88,550,,,,,,,,,,
2.2880279541015627,6.381501197814941,1.5815045293205544e-08,0.96,600,,,,,,,,,,
,,,1.0,625,2.30911922454834,0.3155,1.7988,1111.864,35.024,,,,,
,,,1.0,625,,,,,,52.3667,190.961,11.935,7.7560054161408e+17,2.871426416015625
,,,1.0,625,2.30911922454834,0.3155,1.7888,1118.09,35.22,,,,,
