loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.676975708007813,6.98039436340332,4.9000000000000005e-06,0.05,50,,,,,,,,,,
3.9923275756835936,5.7568840980529785,4.967250533601059e-06,0.1,100,,,,,,,,,,
3.621387939453125,6.610407829284668,4.867214574087338e-06,0.15,150,,,,,,,,,,
3.3611279296875,5.6179890632629395,4.702607171860354e-06,0.2,200,,,,,,,,,,
3.229911193847656,5.685937404632568,4.477918387753388e-06,0.25,250,,,,,,,,,,
3.21574462890625,6.242464542388916,4.199277146076933e-06,0.3,300,,,,,,,,,,
3.241849365234375,6.302065372467041,3.8742840535404155e-06,0.35,350,,,,,,,,,,
3.1525146484375,6.190598011016846,3.511804074514468e-06,0.4,400,,,,,,,,,,
3.097550048828125,6.881289005279541,3.121724717912138e-06,0.45,450,,,,,,,,,,
3.124747619628906,5.9689249992370605,2.714686331720543e-06,0.5,500,,,,,,,,,,
3.1569754028320314,5.801614761352539,2.30179186204511e-06,0.55,550,,,,,,,,,,
3.106534729003906,6.023967266082764,1.8943039936830347e-06,0.6,600,,,,,,,,,,
3.114984130859375,5.565195560455322,1.5033379334416376e-06,0.65,650,,,,,,,,,,
2.95377685546875,5.21038818359375,1.1395582162718524e-06,0.7,700,,,,,,,,,,
3.0459030151367186,5.887975215911865,8.1288780455512e-07,0.75,750,,,,,,,,,,
3.0384176635742186,6.217061996459961,5.322374155568688e-07,0.8,800,,,,,,,,,,
3.01652099609375,4.995884895324707,3.052624602880064e-07,0.85,850,,,,,,,,,,
3.065084228515625,5.933290481567383,1.381542238487188e-07,0.9,900,,,,,,,,,,
3.0647872924804687,6.0008931159973145,3.547098331040916e-08,0.95,950,,,,,,,,,,
2.954914855957031,6.5287275314331055,1.3669799732163314e-11,1.0,1000,,,,,,,,,,
,,,1.0,1000,2.5811376571655273,0.332,2.001,999.517,31.485,,,,,
,,,1.0,1000,,,,,,86.6904,184.565,11.535,1.240960866582528e+18,3.311601791381836
,,,1.0,1000,2.5811376571655273,0.332,2.0099,995.077,31.345,,,,,
,,,1.0,1000,3.762099266052246,0.069,1.9743,1013.007,31.91,,,,,
,,,1.0,1000,3.227649450302124,0.1985,3.6228,1104.128,34.504,,,,,
,,,1.0,1000,3.405799150466919,0.15533333333333332,5.1731,1159.849,36.342,,,,,
