loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.801173095703125,4.086123466491699,2.3333333333333336e-05,0.08,50,,,,,,,,,,
2.4032688903808594,3.512707471847534,2.9697289686635703e-05,0.16,100,,,,,,,,,,
2.2362239074707033,4.173507213592529,2.829978101908969e-05,0.24,150,,,,,,,,,,
2.1469157409667967,4.92210578918457,2.5870028079790644e-05,0.32,200,,,,,,,,,,
2.142740936279297,5.270188331604004,2.2596612812288356e-05,0.4,250,,,,,,,,,,
2.096905517578125,5.376715660095215,1.8733596855199147e-05,0.48,300,,,,,,,,,,
1.990654296875,4.404346466064453,1.4580802896405795e-05,0.56,350,,,,,,,,,,
1.9011308288574218,3.8539352416992188,1.0460544346150335e-05,0.64,400,,,,,,,,,,
1.9043113708496093,5.536384582519531,6.6926094235423925e-06,0.72,450,,,,,,,,,,
1.8311483764648437,5.005845546722412,3.5694412323155945e-06,0.8,500,,,,,,,,,,
1.8565835571289062,5.821091175079346,1.3334401902277849e-06,0.88,550,,,,,,,,,,
1.8575820922851562,4.721351146697998,1.5815045293205544e-07,0.96,600,,,,,,,,,,
,,,1.0,625,1.8781307935714722,0.394,1.8938,1056.06,33.266,,,,,
,,,1.0,625,,,,,,51.494,194.198,12.137,7.7560054161408e+17,2.331273095703125
,,,1.0,625,1.8781307935714722,0.394,1.8852,1060.918,33.419,,,,,
